label,acronym,name,color_hex_triplet,graph_order,identifier,red,green,blue,parent_identifier
AllenCCF-Ontology-2017-648,MOp5,"Primary motor area, Layer 5",#1F9D5A,21.0,MBA:648,31,157,90,MBA:985
AllenCCF-Ontology-2017-844,MOp6a,"Primary motor area, Layer 6a",#1F9D5A,22.0,MBA:844,31,157,90,MBA:985
AllenCCF-Ontology-2017-882,MOp6b,"Primary motor area, Layer 6b",#1F9D5A,23.0,MBA:882,31,157,90,MBA:985
AllenCCF-Ontology-2017-993,MOs,Secondary motor area,#1F9D5A,24.0,MBA:993,31,157,90,MBA:500
AllenCCF-Ontology-2017-656,MOs1,"Secondary motor area, layer 1",#1F9D5A,25.0,MBA:656,31,157,90,MBA:993
AllenCCF-Ontology-2017-962,MOs2/3,"Secondary motor area, layer 2/3",#1F9D5A,26.0,MBA:962,31,157,90,MBA:993
AllenCCF-Ontology-2017-767,MOs5,"Secondary motor area, layer 5",#1F9D5A,27.0,MBA:767,31,157,90,MBA:993
AllenCCF-Ontology-2017-1021,MOs6a,"Secondary motor area, layer 6a",#1F9D5A,28.0,MBA:1021,31,157,90,MBA:993
AllenCCF-Ontology-2017-1085,MOs6b,"Secondary motor area, layer 6b",#1F9D5A,29.0,MBA:1085,31,157,90,MBA:993
AllenCCF-Ontology-2017-453,SS,Somatosensory areas,#188064,30.0,MBA:453,24,128,100,MBA:315
AllenCCF-Ontology-2017-12993,SS1,"Somatosensory areas, layer 1",#188064,31.0,MBA:12993,24,128,100,MBA:453
AllenCCF-Ontology-2017-12994,SS2/3,"Somatosensory areas, layer 2/3",#188064,32.0,MBA:12994,24,128,100,MBA:453
AllenCCF-Ontology-2017-12995,SS4,"Somatosensory areas, layer 4",#188064,33.0,MBA:12995,24,128,100,MBA:453
AllenCCF-Ontology-2017-12996,SS5,"Somatosensory areas, layer 5",#188064,34.0,MBA:12996,24,128,100,MBA:453
AllenCCF-Ontology-2017-12997,SS6a,"Somatosensory areas, layer 6a",#188064,35.0,MBA:12997,24,128,100,MBA:453
AllenCCF-Ontology-2017-12998,SS6b,"Somatosensory areas, layer 6b",#188064,36.0,MBA:12998,24,128,100,MBA:453
AllenCCF-Ontology-2017-322,SSp,Primary somatosensory area,#188064,37.0,MBA:322,24,128,100,MBA:453
AllenCCF-Ontology-2017-793,SSp1,"Primary somatosensory area, layer 1",#188064,38.0,MBA:793,24,128,100,MBA:322
AllenCCF-Ontology-2017-346,SSp2/3,"Primary somatosensory area, layer 2/3",#188064,39.0,MBA:346,24,128,100,MBA:322
AllenCCF-Ontology-2017-865,SSp4,"Primary somatosensory area, layer 4",#188064,40.0,MBA:865,24,128,100,MBA:322
AllenCCF-Ontology-2017-921,SSp5,"Primary somatosensory area, layer 5",#188064,41.0,MBA:921,24,128,100,MBA:322
AllenCCF-Ontology-2017-686,SSp6a,"Primary somatosensory area, layer 6a",#188064,42.0,MBA:686,24,128,100,MBA:322
AllenCCF-Ontology-2017-719,SSp6b,"Primary somatosensory area, layer 6b",#188064,43.0,MBA:719,24,128,100,MBA:322
AllenCCF-Ontology-2017-353,SSp-n,"Primary somatosensory area, nose",#188064,44.0,MBA:353,24,128,100,MBA:322
AllenCCF-Ontology-2017-558,SSp-n1,"Primary somatosensory area, nose, layer 1",#188064,45.0,MBA:558,24,128,100,MBA:353
AllenCCF-Ontology-2017-838,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",#188064,46.0,MBA:838,24,128,100,MBA:353
AllenCCF-Ontology-2017-654,SSp-n4,"Primary somatosensory area, nose, layer 4",#188064,47.0,MBA:654,24,128,100,MBA:353
AllenCCF-Ontology-2017-702,SSp-n5,"Primary somatosensory area, nose, layer 5",#188064,48.0,MBA:702,24,128,100,MBA:353
AllenCCF-Ontology-2017-889,SSp-n6a,"Primary somatosensory area, nose, layer 6a",#188064,49.0,MBA:889,24,128,100,MBA:353
AllenCCF-Ontology-2017-929,SSp-n6b,"Primary somatosensory area, nose, layer 6b",#188064,50.0,MBA:929,24,128,100,MBA:353
AllenCCF-Ontology-2017-329,SSp-bfd,"Primary somatosensory area, barrel field",#188064,51.0,MBA:329,24,128,100,MBA:322
AllenCCF-Ontology-2017-981,SSp-bfd1,"Primary somatosensory area, barrel field, layer 1",#188064,52.0,MBA:981,24,128,100,MBA:329
AllenCCF-Ontology-2017-201,SSp-bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",#188064,53.0,MBA:201,24,128,100,MBA:329
AllenCCF-Ontology-2017-1047,SSp-bfd4,"Primary somatosensory area, barrel field, layer 4",#188064,54.0,MBA:1047,24,128,100,MBA:329
AllenCCF-Ontology-2017-1070,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",#188064,55.0,MBA:1070,24,128,100,MBA:329
AllenCCF-Ontology-2017-1038,SSp-bfd6a,"Primary somatosensory area, barrel field, layer 6a",#188064,56.0,MBA:1038,24,128,100,MBA:329
AllenCCF-Ontology-2017-1062,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",#188064,57.0,MBA:1062,24,128,100,MBA:329
AllenCCF-Ontology-2017-480149202,VISrll,Rostrolateral lateral visual area,#188064,58.0,MBA:480149202,24,128,100,MBA:329
AllenCCF-Ontology-2017-480149206,VISrll1,"Rostrolateral lateral visual area, layer 1",#188064,59.0,MBA:480149206,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-480149210,VISrll2/3,"Rostrolateral lateral visual area, layer 2/3",#188064,60.0,MBA:480149210,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-480149214,VISrll4,"Rostrolateral lateral visual area, layer 4",#188064,61.0,MBA:480149214,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-480149218,VISrll5,"Rostrolateral lateral visual area,layer 5",#188064,62.0,MBA:480149218,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-480149222,VISrll6a,"Rostrolateral lateral visual area, layer 6a",#188064,63.0,MBA:480149222,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-480149226,VISrll6b,"Rostrolateral lateral visual area, layer 6b",#188064,64.0,MBA:480149226,24,128,100,MBA:480149202
AllenCCF-Ontology-2017-337,SSp-ll,"Primary somatosensory area, lower limb",#188064,65.0,MBA:337,24,128,100,MBA:322
AllenCCF-Ontology-2017-1030,SSp-ll1,"Primary somatosensory area, lower limb, layer 1",#188064,66.0,MBA:1030,24,128,100,MBA:337
AllenCCF-Ontology-2017-113,SSp-ll2/3,"Primary somatosensory area, lower limb, layer 2/3",#188064,67.0,MBA:113,24,128,100,MBA:337
AllenCCF-Ontology-2017-1094,SSp-ll4,"Primary somatosensory area, lower limb, layer 4",#188064,68.0,MBA:1094,24,128,100,MBA:337
AllenCCF-Ontology-2017-1128,SSp-ll5,"Primary somatosensory area, lower limb, layer 5",#188064,69.0,MBA:1128,24,128,100,MBA:337
AllenCCF-Ontology-2017-478,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",#188064,70.0,MBA:478,24,128,100,MBA:337
AllenCCF-Ontology-2017-510,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",#188064,71.0,MBA:510,24,128,100,MBA:337
AllenCCF-Ontology-2017-345,SSp-m,"Primary somatosensory area, mouth",#188064,72.0,MBA:345,24,128,100,MBA:322
AllenCCF-Ontology-2017-878,SSp-m1,"Primary somatosensory area, mouth, layer 1",#188064,73.0,MBA:878,24,128,100,MBA:345
AllenCCF-Ontology-2017-657,SSp-m2/3,"Primary somatosensory area, mouth, layer 2/3",#188064,74.0,MBA:657,24,128,100,MBA:345
AllenCCF-Ontology-2017-950,SSp-m4,"Primary somatosensory area, mouth, layer 4",#188064,75.0,MBA:950,24,128,100,MBA:345
AllenCCF-Ontology-2017-974,SSp-m5,"Primary somatosensory area, mouth, layer 5",#188064,76.0,MBA:974,24,128,100,MBA:345
AllenCCF-Ontology-2017-1102,SSp-m6a,"Primary somatosensory area, mouth, layer 6a",#188064,77.0,MBA:1102,24,128,100,MBA:345
AllenCCF-Ontology-2017-2,SSp-m6b,"Primary somatosensory area, mouth, layer 6b",#188064,78.0,MBA:2,24,128,100,MBA:345
AllenCCF-Ontology-2017-369,SSp-ul,"Primary somatosensory area, upper limb",#188064,79.0,MBA:369,24,128,100,MBA:322
AllenCCF-Ontology-2017-450,SSp-ul1,"Primary somatosensory area, upper limb, layer 1",#188064,80.0,MBA:450,24,128,100,MBA:369
AllenCCF-Ontology-2017-854,SSp-ul2/3,"Primary somatosensory area, upper limb, layer 2/3",#188064,81.0,MBA:854,24,128,100,MBA:369
AllenCCF-Ontology-2017-577,SSp-ul4,"Primary somatosensory area, upper limb, layer 4",#188064,82.0,MBA:577,24,128,100,MBA:369
AllenCCF-Ontology-2017-625,SSp-ul5,"Primary somatosensory area, upper limb, layer 5",#188064,83.0,MBA:625,24,128,100,MBA:369
AllenCCF-Ontology-2017-945,SSp-ul6a,"Primary somatosensory area, upper limb, layer 6a",#188064,84.0,MBA:945,24,128,100,MBA:369
AllenCCF-Ontology-2017-1026,SSp-ul6b,"Primary somatosensory area, upper limb, layer 6b",#188064,85.0,MBA:1026,24,128,100,MBA:369
AllenCCF-Ontology-2017-361,SSp-tr,"Primary somatosensory area, trunk",#188064,86.0,MBA:361,24,128,100,MBA:322
AllenCCF-Ontology-2017-1006,SSp-tr1,"Primary somatosensory area, trunk, layer 1",#188064,87.0,MBA:1006,24,128,100,MBA:361
AllenCCF-Ontology-2017-670,SSp-tr2/3,"Primary somatosensory area, trunk, layer 2/3",#188064,88.0,MBA:670,24,128,100,MBA:361
AllenCCF-Ontology-2017-1086,SSp-tr4,"Primary somatosensory area, trunk, layer 4",#188064,89.0,MBA:1086,24,128,100,MBA:361
AllenCCF-Ontology-2017-1111,SSp-tr5,"Primary somatosensory area, trunk, layer 5",#188064,90.0,MBA:1111,24,128,100,MBA:361
AllenCCF-Ontology-2017-9,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",#188064,91.0,MBA:9,24,128,100,MBA:361
AllenCCF-Ontology-2017-461,SSp-tr6b,"Primary somatosensory area, trunk, layer 6b",#188064,92.0,MBA:461,24,128,100,MBA:361
AllenCCF-Ontology-2017-182305689,SSp-un,"Primary somatosensory area, unassigned",#188064,93.0,MBA:182305689,24,128,100,MBA:322
AllenCCF-Ontology-2017-182305693,SSp-un1,"Primary somatosensory area, unassigned, layer 1",#188064,94.0,MBA:182305693,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-182305697,SSp-un2/3,"Primary somatosensory area, unassigned, layer 2/3",#188064,95.0,MBA:182305697,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-182305701,SSp-un4,"Primary somatosensory area, unassigned, layer 4",#188064,96.0,MBA:182305701,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-182305705,SSp-un5,"Primary somatosensory area, unassigned, layer 5",#188064,97.0,MBA:182305705,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-182305709,SSp-un6a,"Primary somatosensory area, unassigned, layer 6a",#188064,98.0,MBA:182305709,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-182305713,SSp-un6b,"Primary somatosensory area, unassigned, layer 6b",#188064,99.0,MBA:182305713,24,128,100,MBA:182305689
AllenCCF-Ontology-2017-378,SSs,Supplemental somatosensory area,#188064,100.0,MBA:378,24,128,100,MBA:453
AllenCCF-Ontology-2017-873,SSs1,"Supplemental somatosensory area, layer 1",#188064,101.0,MBA:873,24,128,100,MBA:378
AllenCCF-Ontology-2017-806,SSs2/3,"Supplemental somatosensory area, layer 2/3",#188064,102.0,MBA:806,24,128,100,MBA:378
AllenCCF-Ontology-2017-1035,SSs4,"Supplemental somatosensory area, layer 4",#188064,103.0,MBA:1035,24,128,100,MBA:378
AllenCCF-Ontology-2017-1090,SSs5,"Supplemental somatosensory area, layer 5",#188064,104.0,MBA:1090,24,128,100,MBA:378
AllenCCF-Ontology-2017-862,SSs6a,"Supplemental somatosensory area, layer 6a",#188064,105.0,MBA:862,24,128,100,MBA:378
AllenCCF-Ontology-2017-893,SSs6b,"Supplemental somatosensory area, layer 6b",#188064,106.0,MBA:893,24,128,100,MBA:378
AllenCCF-Ontology-2017-1057,GU,Gustatory areas,#009C75,107.0,MBA:1057,0,156,117,MBA:315
AllenCCF-Ontology-2017-36,GU1,"Gustatory areas, layer 1",#009C75,108.0,MBA:36,0,156,117,MBA:1057
AllenCCF-Ontology-2017-180,GU2/3,"Gustatory areas, layer 2/3",#009C75,109.0,MBA:180,0,156,117,MBA:1057
AllenCCF-Ontology-2017-148,GU4,"Gustatory areas, layer 4",#009C75,110.0,MBA:148,0,156,117,MBA:1057
AllenCCF-Ontology-2017-187,GU5,"Gustatory areas, layer 5",#009C75,111.0,MBA:187,0,156,117,MBA:1057
AllenCCF-Ontology-2017-638,GU6a,"Gustatory areas, layer 6a",#009C75,112.0,MBA:638,0,156,117,MBA:1057
AllenCCF-Ontology-2017-662,GU6b,"Gustatory areas, layer 6b",#009C75,113.0,MBA:662,0,156,117,MBA:1057
AllenCCF-Ontology-2017-677,VISC,Visceral area,#11AD83,114.0,MBA:677,17,173,131,MBA:315
AllenCCF-Ontology-2017-897,VISC1,"Visceral area, layer 1",#11AD83,115.0,MBA:897,17,173,131,MBA:677
AllenCCF-Ontology-2017-1106,VISC2/3,"Visceral area, layer 2/3",#11AD83,116.0,MBA:1106,17,173,131,MBA:677
AllenCCF-Ontology-2017-1010,VISC4,"Visceral area, layer 4",#11AD83,117.0,MBA:1010,17,173,131,MBA:677
AllenCCF-Ontology-2017-1058,VISC5,"Visceral area, layer 5",#11AD83,118.0,MBA:1058,17,173,131,MBA:677
AllenCCF-Ontology-2017-857,VISC6a,"Visceral area, layer 6a",#11AD83,119.0,MBA:857,17,173,131,MBA:677
AllenCCF-Ontology-2017-849,VISC6b,"Visceral area, layer 6b",#11AD83,120.0,MBA:849,17,173,131,MBA:677
AllenCCF-Ontology-2017-247,AUD,Auditory areas,#019399,121.0,MBA:247,1,147,153,MBA:315
AllenCCF-Ontology-2017-1011,AUDd,Dorsal auditory area,#019399,122.0,MBA:1011,1,147,153,MBA:247
AllenCCF-Ontology-2017-527,AUDd1,"Dorsal auditory area, layer 1",#019399,123.0,MBA:527,1,147,153,MBA:1011
AllenCCF-Ontology-2017-600,AUDd2/3,"Dorsal auditory area, layer 2/3",#019399,124.0,MBA:600,1,147,153,MBA:1011
AllenCCF-Ontology-2017-678,AUDd4,"Dorsal auditory area, layer 4",#019399,125.0,MBA:678,1,147,153,MBA:1011
AllenCCF-Ontology-2017-252,AUDd5,"Dorsal auditory area, layer 5",#019399,126.0,MBA:252,1,147,153,MBA:1011
AllenCCF-Ontology-2017-156,AUDd6a,"Dorsal auditory area, layer 6a",#019399,127.0,MBA:156,1,147,153,MBA:1011
AllenCCF-Ontology-2017-243,AUDd6b,"Dorsal auditory area, layer 6b",#019399,128.0,MBA:243,1,147,153,MBA:1011
AllenCCF-Ontology-2017-480149230,VISlla,Laterolateral anterior visual area,#019399,129.0,MBA:480149230,1,147,153,MBA:1011
AllenCCF-Ontology-2017-480149234,VISlla1,"Laterolateral anterior visual area, layer 1",#019399,130.0,MBA:480149234,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-480149238,VISlla2/3,"Laterolateral anterior visual area, layer 2/3",#019399,131.0,MBA:480149238,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-480149242,VISlla4,"Laterolateral anterior visual area, layer 4",#019399,132.0,MBA:480149242,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-480149246,VISlla5,"Laterolateral anterior visual area,layer 5",#019399,133.0,MBA:480149246,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-480149250,VISlla6a,"Laterolateral anterior visual area, layer 6a",#019399,134.0,MBA:480149250,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-480149254,VISlla6b,"Laterolateral anterior visual area, layer 6b",#019399,135.0,MBA:480149254,1,147,153,MBA:480149230
AllenCCF-Ontology-2017-1002,AUDp,Primary auditory area,#019399,136.0,MBA:1002,1,147,153,MBA:247
AllenCCF-Ontology-2017-735,AUDp1,"Primary auditory area, layer 1",#019399,137.0,MBA:735,1,147,153,MBA:1002
AllenCCF-Ontology-2017-251,AUDp2/3,"Primary auditory area, layer 2/3",#019399,138.0,MBA:251,1,147,153,MBA:1002
AllenCCF-Ontology-2017-816,AUDp4,"Primary auditory area, layer 4",#019399,139.0,MBA:816,1,147,153,MBA:1002
AllenCCF-Ontology-2017-847,AUDp5,"Primary auditory area, layer 5",#019399,140.0,MBA:847,1,147,153,MBA:1002
AllenCCF-Ontology-2017-954,AUDp6a,"Primary auditory area, layer 6a",#019399,141.0,MBA:954,1,147,153,MBA:1002
AllenCCF-Ontology-2017-1005,AUDp6b,"Primary auditory area, layer 6b",#019399,142.0,MBA:1005,1,147,153,MBA:1002
AllenCCF-Ontology-2017-1027,AUDpo,Posterior auditory area,#019399,143.0,MBA:1027,1,147,153,MBA:247
AllenCCF-Ontology-2017-696,AUDpo1,"Posterior auditory area, layer 1",#019399,144.0,MBA:696,1,147,153,MBA:1027
AllenCCF-Ontology-2017-643,AUDpo2/3,"Posterior auditory area, layer 2/3",#019399,145.0,MBA:643,1,147,153,MBA:1027
AllenCCF-Ontology-2017-759,AUDpo4,"Posterior auditory area, layer 4",#019399,146.0,MBA:759,1,147,153,MBA:1027
AllenCCF-Ontology-2017-791,AUDpo5,"Posterior auditory area, layer 5",#019399,147.0,MBA:791,1,147,153,MBA:1027
AllenCCF-Ontology-2017-249,AUDpo6a,"Posterior auditory area, layer 6a",#019399,148.0,MBA:249,1,147,153,MBA:1027
AllenCCF-Ontology-2017-456,AUDpo6b,"Posterior auditory area, layer 6b",#019399,149.0,MBA:456,1,147,153,MBA:1027
AllenCCF-Ontology-2017-1018,AUDv,Ventral auditory area,#019399,150.0,MBA:1018,1,147,153,MBA:247
AllenCCF-Ontology-2017-959,AUDv1,"Ventral auditory area, layer 1",#019399,151.0,MBA:959,1,147,153,MBA:1018
AllenCCF-Ontology-2017-755,AUDv2/3,"Ventral auditory area, layer 2/3",#019399,152.0,MBA:755,1,147,153,MBA:1018
AllenCCF-Ontology-2017-990,AUDv4,"Ventral auditory area, layer 4",#019399,153.0,MBA:990,1,147,153,MBA:1018
AllenCCF-Ontology-2017-1023,AUDv5,"Ventral auditory area, layer 5",#019399,154.0,MBA:1023,1,147,153,MBA:1018
AllenCCF-Ontology-2017-520,AUDv6a,"Ventral auditory area, layer 6a",#019399,155.0,MBA:520,1,147,153,MBA:1018
AllenCCF-Ontology-2017-598,AUDv6b,"Ventral auditory area, layer 6b",#019399,156.0,MBA:598,1,147,153,MBA:1018
AllenCCF-Ontology-2017-669,VIS,Visual areas,#08858C,157.0,MBA:669,8,133,140,MBA:315
AllenCCF-Ontology-2017-801,VIS1,"Visual areas, layer 1",#08858C,158.0,MBA:801,8,133,140,MBA:669
AllenCCF-Ontology-2017-561,VIS2/3,"Visual areas, layer 2/3",#08858C,159.0,MBA:561,8,133,140,MBA:669
AllenCCF-Ontology-2017-913,VIS4,"Visual areas, layer 4",#08858C,160.0,MBA:913,8,133,140,MBA:669
AllenCCF-Ontology-2017-937,VIS5,"Visual areas, layer 5",#08858C,161.0,MBA:937,8,133,140,MBA:669
AllenCCF-Ontology-2017-457,VIS6a,"Visual areas, layer 6a",#08858C,162.0,MBA:457,8,133,140,MBA:669
AllenCCF-Ontology-2017-497,VIS6b,"Visual areas, layer 6b",#08858C,163.0,MBA:497,8,133,140,MBA:669
AllenCCF-Ontology-2017-402,VISal,Anterolateral visual area,#08858C,164.0,MBA:402,8,133,140,MBA:669
AllenCCF-Ontology-2017-1074,VISal1,"Anterolateral visual area, layer 1",#08858C,165.0,MBA:1074,8,133,140,MBA:402
AllenCCF-Ontology-2017-905,VISal2/3,"Anterolateral visual area, layer 2/3",#08858C,166.0,MBA:905,8,133,140,MBA:402
AllenCCF-Ontology-2017-1114,VISal4,"Anterolateral visual area, layer 4",#08858C,167.0,MBA:1114,8,133,140,MBA:402
AllenCCF-Ontology-2017-233,VISal5,"Anterolateral visual area, layer 5",#08858C,168.0,MBA:233,8,133,140,MBA:402
AllenCCF-Ontology-2017-601,VISal6a,"Anterolateral visual area, layer 6a",#08858C,169.0,MBA:601,8,133,140,MBA:402
AllenCCF-Ontology-2017-649,VISal6b,"Anterolateral visual area, layer 6b",#08858C,170.0,MBA:649,8,133,140,MBA:402
AllenCCF-Ontology-2017-394,VISam,Anteromedial visual area,#08858C,171.0,MBA:394,8,133,140,MBA:669
AllenCCF-Ontology-2017-281,VISam1,"Anteromedial visual area, layer 1",#08858C,172.0,MBA:281,8,133,140,MBA:394
AllenCCF-Ontology-2017-1066,VISam2/3,"Anteromedial visual area, layer 2/3",#08858C,173.0,MBA:1066,8,133,140,MBA:394
AllenCCF-Ontology-2017-401,VISam4,"Anteromedial visual area, layer 4",#08858C,174.0,MBA:401,8,133,140,MBA:394
AllenCCF-Ontology-2017-433,VISam5,"Anteromedial visual area, layer 5",#08858C,175.0,MBA:433,8,133,140,MBA:394
AllenCCF-Ontology-2017-1046,VISam6a,"Anteromedial visual area, layer 6a",#08858C,176.0,MBA:1046,8,133,140,MBA:394
AllenCCF-Ontology-2017-441,VISam6b,"Anteromedial visual area, layer 6b",#08858C,177.0,MBA:441,8,133,140,MBA:394
AllenCCF-Ontology-2017-409,VISl,Lateral visual area,#08858C,178.0,MBA:409,8,133,140,MBA:669
AllenCCF-Ontology-2017-421,VISl1,"Lateral visual area, layer 1",#08858C,179.0,MBA:421,8,133,140,MBA:409
AllenCCF-Ontology-2017-973,VISl2/3,"Lateral visual area, layer 2/3",#08858C,180.0,MBA:973,8,133,140,MBA:409
AllenCCF-Ontology-2017-573,VISl4,"Lateral visual area, layer 4",#08858C,181.0,MBA:573,8,133,140,MBA:409
AllenCCF-Ontology-2017-613,VISl5,"Lateral visual area, layer 5",#08858C,182.0,MBA:613,8,133,140,MBA:409
AllenCCF-Ontology-2017-74,VISl6a,"Lateral visual area, layer 6a",#08858C,183.0,MBA:74,8,133,140,MBA:409
AllenCCF-Ontology-2017-121,VISl6b,"Lateral visual area, layer 6b",#08858C,184.0,MBA:121,8,133,140,MBA:409
AllenCCF-Ontology-2017-385,VISp,Primary visual area,#08858C,185.0,MBA:385,8,133,140,MBA:669
AllenCCF-Ontology-2017-593,VISp1,"Primary visual area, layer 1",#08858C,186.0,MBA:593,8,133,140,MBA:385
AllenCCF-Ontology-2017-821,VISp2/3,"Primary visual area, layer 2/3",#08858C,187.0,MBA:821,8,133,140,MBA:385
AllenCCF-Ontology-2017-721,VISp4,"Primary visual area, layer 4",#08858C,188.0,MBA:721,8,133,140,MBA:385
AllenCCF-Ontology-2017-778,VISp5,"Primary visual area, layer 5",#08858C,189.0,MBA:778,8,133,140,MBA:385
AllenCCF-Ontology-2017-33,VISp6a,"Primary visual area, layer 6a",#08858C,190.0,MBA:33,8,133,140,MBA:385
AllenCCF-Ontology-2017-305,VISp6b,"Primary visual area, layer 6b",#08858C,191.0,MBA:305,8,133,140,MBA:385
AllenCCF-Ontology-2017-425,VISpl,Posterolateral visual area,#08858C,192.0,MBA:425,8,133,140,MBA:669
AllenCCF-Ontology-2017-750,VISpl1,"Posterolateral visual area, layer 1",#08858C,193.0,MBA:750,8,133,140,MBA:425
AllenCCF-Ontology-2017-269,VISpl2/3,"Posterolateral visual area, layer 2/3",#08858C,194.0,MBA:269,8,133,140,MBA:425
AllenCCF-Ontology-2017-869,VISpl4,"Posterolateral visual area, layer 4",#08858C,195.0,MBA:869,8,133,140,MBA:425
AllenCCF-Ontology-2017-902,VISpl5,"Posterolateral visual area, layer 5",#08858C,196.0,MBA:902,8,133,140,MBA:425
AllenCCF-Ontology-2017-377,VISpl6a,"Posterolateral visual area, layer 6a",#08858C,197.0,MBA:377,8,133,140,MBA:425
AllenCCF-Ontology-2017-393,VISpl6b,"Posterolateral visual area, layer 6b",#08858C,198.0,MBA:393,8,133,140,MBA:425
AllenCCF-Ontology-2017-533,VISpm,posteromedial visual area,#08858C,199.0,MBA:533,8,133,140,MBA:669
AllenCCF-Ontology-2017-805,VISpm1,"posteromedial visual area, layer 1",#08858C,200.0,MBA:805,8,133,140,MBA:533
AllenCCF-Ontology-2017-41,VISpm2/3,"posteromedial visual area, layer 2/3",#08858C,201.0,MBA:41,8,133,140,MBA:533
AllenCCF-Ontology-2017-501,VISpm4,"posteromedial visual area, layer 4",#08858C,202.0,MBA:501,8,133,140,MBA:533
AllenCCF-Ontology-2017-565,VISpm5,"posteromedial visual area, layer 5",#08858C,203.0,MBA:565,8,133,140,MBA:533
AllenCCF-Ontology-2017-257,VISpm6a,"posteromedial visual area, layer 6a",#08858C,204.0,MBA:257,8,133,140,MBA:533
AllenCCF-Ontology-2017-469,VISpm6b,"posteromedial visual area, layer 6b",#08858C,205.0,MBA:469,8,133,140,MBA:533
AllenCCF-Ontology-2017-312782574,VISli,Laterointermediate area,#08858C,206.0,MBA:312782574,8,133,140,MBA:669
