substructure,organ,category,division,structure,count,sum,sum_squared,max,min,mean
AUDv5,brain,grey,Isocortex,AUDv,38671.0,11471054.0,1210582006.0,447.0,147.0,296.63194641979777
AUDv6a,brain,grey,Isocortex,AUDv,18104.0,4059789.0,723997157.0,417.0,123.0,224.2481771984092
AUDv6b,brain,grey,Isocortex,AUDv,2896.0,448014.0,70936270.0,231.0,83.0,154.70096685082873
AV,brain,grey,TH,AV,26622.0,9400459.0,867045291.0,676.0,27.0,353.1086695214484
AVP,brain,grey,HY,AVP,5898.0,1693494.0,166649258.0,363.0,117.0,287.1302136317396
AVPV,brain,grey,HY,AVPV,11711.0,2074318.0,300568902.0,407.0,39.0,177.12560840235676
Acs5,brain,grey,P,Acs5,914.0,152445.0,25465111.0,322.0,78.0,166.78884026258206
B,brain,grey,P,B,994.0,197510.0,39631652.0,259.0,135.0,198.70221327967806
BA,brain,grey,STR,BA,1603.0,348902.0,63847236.0,302.0,53.0,217.65564566437928
BAC,brain,grey,PAL,BAC,483.0,78115.0,12001905.0,316.0,73.0,161.7287784679089
BLAa,brain,grey,CTXsp,BLA,49305.0,16790948.0,1625761208.0,538.0,88.0,340.5526417199067
BLAp,brain,grey,CTXsp,BLA,45512.0,12440652.0,1317554738.0,469.0,104.0,273.348831077518
BLAv,brain,grey,CTXsp,BLA,26796.0,6761414.0,851981554.0,355.0,108.0,252.32922824302133
BMAa,brain,grey,CTXsp,BMA,49159.0,12783823.0,1513434555.0,370.0,87.0,260.05050957098393
BMAp,brain,grey,CTXsp,BMA,45909.0,12583621.0,1412308929.0,451.0,97.0,274.0992180182535
BST,brain,grey,PAL,BST,85792.0,24824301.0,2669105313.0,435.0,23.0,289.35449692279
CA1-unassigned,brain,grey,HPF,CA1,1.0,150.0,22500.0,150.0,150.0,150.0
CA1slm,brain,grey,HPF,CA1,123518.0,46058928.0,4040748190.0,640.0,18.0,372.8924367298693
CA1so,brain,grey,HPF,CA1,230807.0,83550701.0,7462627685.0,679.0,3.0,361.9937913494825
CA1sp,brain,grey,HPF,CA1,60050.0,21419554.0,1996736390.0,614.0,94.0,356.6953205661948
CA1sr,brain,grey,HPF,CA1,238992.0,91745895.0,7919584195.0,599.0,28.0,383.8868874271942
CA2slm,brain,grey,HPF,CA2,7708.0,3662893.0,254444777.0,632.0,141.0,475.2066683964712
CA2so,brain,grey,HPF,CA2,8458.0,3562977.0,272680831.0,683.0,21.0,421.2552612910854
CA2sp,brain,grey,HPF,CA2,3841.0,1842973.0,125524967.0,649.0,147.0,479.81593335068993
CA2sr,brain,grey,HPF,CA2,10400.0,4353009.0,345422931.0,605.0,190.0,418.5585576923077
CA3slm,brain,grey,HPF,CA3,40786.0,17275058.0,1333081052.0,622.0,197.0,423.5536213406561
CA3slu,brain,grey,HPF,CA3,42640.0,13306237.0,1288880071.0,563.0,109.0,312.05996716697933
CA3so,brain,grey,HPF,CA3,135329.0,42911499.0,4442592681.0,690.0,25.0,317.090195006244
CA3sp,brain,grey,HPF,CA3,83476.0,25155258.0,2657091144.0,651.0,70.0,301.3471896113853
CA3sr,brain,grey,HPF,CA3,98656.0,34284964.0,3271487772.0,509.0,160.0,347.52031300681153
CB-unassigned,brain,grey,CB,CB-unassigned,52787.0,4613274.0,558997262.0,441.0,1.0,87.39413113077083
CEAc,brain,grey,STR,CEA,19807.0,6500114.0,647607984.0,470.0,93.0,328.17256525470793
CEAl,brain,grey,STR,CEA,16635.0,5193674.0,556169010.0,495.0,45.0,312.2136459272618
CEAm,brain,grey,STR,CEA,47891.0,13067808.0,1378848880.0,500.0,78.0,272.86563237351487
CENT2,brain,grey,CB,CENT,85398.0,28949921.0,2761030497.0,616.0,12.0,338.9999882901239
CENT3,brain,grey,CB,CENT,175414.0,66537063.0,5756854765.0,648.0,19.0,379.3144389843456
CL,brain,grey,TH,CL,23142.0,4429733.0,726488079.0,472.0,27.0,191.41530550514216
CLA,brain,grey,CTXsp,CLA,35283.0,9982068.0,1088936700.0,454.0,28.0,282.91437802907916
CLI,brain,grey,MB,CLI,5340.0,426920.0,40937170.0,241.0,20.0,79.94756554307116
CM,brain,grey,TH,CM,15985.0,4420609.0,479427389.0,440.0,107.0,276.54732561776666
COAa,brain,grey,OLF,COAa,49142.0,10777830.0,2145439250.0,358.0,59.0,219.3201334907004
COApl,brain,grey,OLF,COAp,76930.0,16146342.0,2905764718.0,437.0,44.0,209.88355647991682
COApm,brain,grey,OLF,COAp,82891.0,19921018.0,3037519534.0,390.0,21.0,240.32787636776007
COPY,brain,grey,CB,COPY,160428.0,52825553.0,5445021883.0,751.0,33.0,329.27888523200437
CP,brain,grey,STR,CP,1665238.0,477291671.0,52953127093.0,561.0,3.0,286.6206938587757
CS,brain,grey,P,CS,38338.0,3290664.0,326471860.0,240.0,0.0,85.83295946580417
CTXsp-unassigned,brain,grey,CTXsp,CTXsp-unassigned,23955.0,5580238.0,768355722.0,379.0,40.0,232.94669171362972
CU,brain,grey,MY,CU,21342.0,1960201.0,208817435.0,261.0,19.0,91.84710898697404
"CUL4, 5",brain,grey,CB,CUL,430441.0,163745238.0,14118363678.0,751.0,10.0,380.41273484635525
CUN,brain,grey,MB,CUN,35272.0,3748205.0,443723057.0,450.0,16.0,106.2657348605126
DCO,brain,grey,MY,DCO,39123.0,7402915.0,1071476995.0,590.0,23.0,189.22155765150933
DEC,brain,grey,CB,DEC,213303.0,74910103.0,7011059909.0,877.0,13.0,351.19104278889654
DG-mo,brain,grey,HPF,DG,275873.0,88044148.0,8809160136.0,782.0,1.0,319.14739028466
DG-po,brain,grey,HPF,DG,44096.0,11905915.0,1370470603.0,429.0,96.0,269.9998866110305
DG-sg,brain,grey,HPF,DG,102261.0,19828950.0,3388051844.0,387.0,41.0,193.90530114119753
DMH,brain,grey,HY,DMH,24068.0,6010045.0,727457337.0,355.0,90.0,249.7110270899119
DMX,brain,grey,MY,DMX,11139.0,2639808.0,389088224.0,383.0,64.0,236.98788042014544
DN,brain,grey,CB,DN,21510.0,4376618.0,721853100.0,406.0,30.0,203.46899116689912
DP,brain,grey,OLF,DP,32116.0,9537009.0,1013600137.0,550.0,8.0,296.95506912442397
DR,brain,grey,MB,DR,9814.0,1986128.0,394466146.0,328.0,77.0,202.3770124312207
DT,brain,grey,MB,DT,725.0,59810.0,6031124.0,186.0,16.0,82.49655172413793
DTN,brain,grey,P,DTN,6637.0,1402565.0,271674569.0,311.0,95.0,211.32514690372156
ECT1,brain,grey,Isocortex,ECT,16685.0,3040836.0,571424896.0,315.0,3.0,182.24968534611926
ECT2/3,brain,grey,Isocortex,ECT,30445.0,5862150.0,969926454.0,341.0,87.0,192.54885859747085
ECT5,brain,grey,Isocortex,ECT,33862.0,8588630.0,1154891736.0,390.0,118.0,253.6362294016892
ECT6a,brain,grey,Isocortex,ECT,24962.0,5614280.0,1022918028.0,344.0,36.0,224.91306786315198
ECT6b,brain,grey,Isocortex,ECT,3606.0,606636.0,105333846.0,271.0,39.0,168.2296173044925
ECU,brain,grey,MY,ECU,13130.0,1055391.0,103717877.0,241.0,11.0,80.38012185833968
ENTl1,brain,grey,HPF,ENTl,62794.0,12671525.0,2309684223.0,392.0,4.0,201.79515558811352
ENTl2,brain,grey,HPF,ENTl,102602.0,18088250.0,3233589522.0,305.0,24.0,176.29529638798465
ENTl3,brain,grey,HPF,ENTl,84281.0,18627474.0,3632514854.0,325.0,36.0,221.01629074168557
ENTl5,brain,grey,HPF,ENTl,91401.0,21966048.0,3772835544.0,373.0,35.0,240.3261233465717
ENTl6a,brain,grey,HPF,ENTl,67154.0,14797642.0,2731984526.0,355.0,30.0,220.35384340471157
ENTm1,brain,grey,HPF,ENTm,79710.0,20638882.0,2729712552.0,699.0,16.0,258.92462677204867
ENTm2,brain,grey,HPF,ENTm,80671.0,18095231.0,3114595689.0,449.0,74.0,224.3089957977464
ENTm3,brain,grey,HPF,ENTm,62938.0,13662477.0,2607863735.0,323.0,81.0,217.07834694461215
ENTm5,brain,grey,HPF,ENTm,58465.0,13047229.0,2415454031.0,392.0,67.0,223.16307192337297
ENTm6,brain,grey,HPF,ENTm,40183.0,8531201.0,1565672299.0,352.0,67.0,212.3087126396735
EPd,brain,grey,CTXsp,EPd,116294.0,27815616.0,4085489224.0,456.0,23.0,239.18358642750272
EPv,brain,grey,CTXsp,EPv,62260.0,14317435.0,2150465809.0,380.0,82.0,229.96201413427562
EW,brain,grey,MB,EW,1664.0,293815.0,50128305.0,283.0,71.0,176.57151442307693
Eth,brain,grey,TH,Eth,15130.0,2476686.0,420675532.0,331.0,25.0,163.69372108393918
FC,brain,grey,HPF,FC,3970.0,550978.0,72131222.0,390.0,0.0,138.7853904282116
FF,brain,grey,HY,ZI,15439.0,1907846.0,250569028.0,237.0,31.0,123.57315888334736
FL,brain,grey,CB,FL,85475.0,19385701.0,2909450859.0,537.0,0.0,226.79966071950864
FN,brain,grey,CB,FN,32062.0,2573316.0,248179568.0,246.0,18.0,80.26062004865572
FOTU,brain,grey,CB,FOTU,67534.0,20078762.0,2266112978.0,636.0,23.0,297.31338288861906
FRP1,brain,grey,Isocortex,FRP,16219.0,3118935.0,577485793.0,752.0,5.0,192.30131327455453
FRP2/3,brain,grey,Isocortex,FRP,14978.0,3557830.0,564477482.0,348.0,117.0,237.53705434637467
FRP5,brain,grey,Isocortex,FRP,23779.0,7200762.0,738366572.0,458.0,142.0,302.82021952142645
FRP6a,brain,grey,Isocortex,FRP,7184.0,1805095.0,219938491.0,368.0,109.0,251.26600779510022
FRP6b,brain,grey,Isocortex,FRP,67.0,7964.0,954016.0,143.0,101.0,118.86567164179104
FS,brain,grey,STR,FS,27633.0,7171247.0,934168095.0,467.0,19.0,259.5174971953823
GPe,brain,grey,PAL,GPe,100114.0,15229318.0,2352759752.0,402.0,15.0,152.1197634696446
GPi,brain,grey,PAL,GPi,27100.0,1668377.0,130502467.0,290.0,12.0,61.56372693726937
GR,brain,grey,MY,GR,5232.0,513314.0,55305632.0,364.0,26.0,98.1104740061162
GRN,brain,grey,MY,GRN,167474.0,10722522.0,774313610.0,212.0,12.0,64.02499492458531
GU1,brain,grey,Isocortex,GU,12588.0,2696702.0,391296668.0,398.0,6.0,214.2279949157928
GU2/3,brain,grey,Isocortex,GU,25735.0,6930918.0,862288282.0,433.0,33.0,269.3187487857004
GU4,brain,grey,Isocortex,GU,9427.0,3169656.0,299531672.0,465.0,99.0,336.2316749761324
GU5,brain,grey,Isocortex,GU,34860.0,10430445.0,1093556873.0,483.0,46.0,299.2095524956971
GU6a,brain,grey,Isocortex,GU,28068.0,7180743.0,957830427.0,358.0,39.0,255.8337964942283
GU6b,brain,grey,Isocortex,GU,2518.0,552720.0,105841338.0,280.0,110.0,219.5075456711676
HATA,brain,grey,HPF,HATA,27017.0,6481646.0,997075078.0,375.0,51.0,239.90990857608173
HPF-unassigned,brain,grey,HPF,HPF-unassigned,26960.0,3903735.0,540698085.0,461.0,2.0,144.79729228486647
HY-unassigned,brain,grey,HY,HY-unassigned,176430.0,39374999.0,5268200679.0,462.0,9.0,223.1763248880576
I5,brain,grey,P,I5,2819.0,259921.0,24793381.0,161.0,44.0,92.20326356864136
IA,brain,grey,STR,IA,11701.0,3205320.0,296087444.0,365.0,103.0,273.93556106315697
IAD,brain,grey,TH,IAD,7225.0,1880373.0,244966785.0,403.0,122.0,260.2592387543253
IAM,brain,grey,TH,IAM,2742.0,898393.0,93664943.0,446.0,108.0,327.6415025528811
ICB,brain,grey,MY,ICB,3458.0,155532.0,7515826.0,98.0,21.0,44.97744360902256
ICc,brain,grey,MB,IC,72083.0,21188581.0,2268091599.0,575.0,58.0,293.94699166238917
ICd,brain,grey,MB,IC,84648.0,24341962.0,2832284774.0,462.0,73.0,287.56688876287683
ICe,brain,grey,MB,IC,127870.0,26096901.0,3807926165.0,420.0,43.0,204.08931727535779
IF,brain,grey,MB,IF,5559.0,768450.0,118196792.0,273.0,25.0,138.23529411764707
IG,brain,grey,HPF,IG,7958.0,1552531.0,199179127.0,467.0,2.0,195.0906006534305
IGL,brain,grey,TH,IGL,4415.0,468543.0,52397015.0,248.0,29.0,106.12525481313703
III,brain,grey,MB,III,2084.0,330496.0,53716166.0,233.0,65.0,158.5873320537428
IIIn-unassigned,brain,fiber tracts,cm,IIIn,521.0,101462.0,13426790.0,320.0,37.0,194.7447216890595
IIn-unassigned,brain,fiber tracts,cm,IIn,4540.0,38929.0,569513.0,97.0,1.0,8.57466960352423
ILA1,brain,grey,Isocortex,ILA,9609.0,3000568.0,305709038.0,513.0,25.0,312.26641690082215
ILA2/3,brain,grey,Isocortex,ILA,9157.0,2762847.0,274914957.0,445.0,156.0,301.71966801354154
ILA5,brain,grey,Isocortex,ILA,21394.0,7175887.0,782609145.0,469.0,134.0,335.41586426100775
ILA6a,brain,grey,Isocortex,ILA,13114.0,3665160.0,407945648.0,391.0,119.0,279.4845203599207
ILA6b,brain,grey,Isocortex,ILA,689.0,123739.0,22717529.0,266.0,112.0,179.5921625544267
IMD,brain,grey,TH,IMD,11270.0,3084302.0,282129006.0,360.0,125.0,273.67364685004435
INC,brain,grey,MB,PAG,5086.0,438817.0,43715971.0,225.0,32.0,86.27939441604404
IO,brain,grey,MY,IO,32619.0,2470654.0,224230736.0,221.0,17.0,75.74278794567583
IP,brain,grey,CB,IP,55134.0,7448416.0,1103927852.0,333.0,28.0,135.09660100845213
IPA,brain,grey,MB,IPN,1631.0,356955.0,55702047.0,425.0,78.0,218.85652973635806
IPC,brain,grey,MB,IPN,4363.0,1177747.0,133474501.0,554.0,41.0,269.93972037588816
IPDL,brain,grey,MB,IPN,2425.0,512896.0,70092700.0,453.0,54.0,211.50350515463919
IPDM,brain,grey,MB,IPN,1214.0,202991.0,33567965.0,343.0,56.0,167.20840197693576
IPI,brain,grey,MB,IPN,2104.0,551633.0,63421385.0,468.0,29.0,262.1829847908745
IPL,brain,grey,MB,IPN,3967.0,757423.0,103146359.0,469.0,25.0,190.93093017393497
IPN-unassigned,brain,grey,MB,IPN,777.0,74957.0,8015061.0,219.0,38.0,96.46975546975547
IPR,brain,grey,MB,IPN,5112.0,1108580.0,161197404.0,438.0,21.0,216.85837245696402
IPRL,brain,grey,MB,IPN,1224.0,255587.0,39672091.0,391.0,43.0,208.81290849673204
IRN,brain,grey,MY,IRN,177667.0,18111144.0,2045548876.0,271.0,0.0,101.93870555589952
ISN,brain,grey,MY,ISN,460.0,90880.0,16179578.0,324.0,109.0,197.56521739130434
IV,brain,grey,MB,IV,454.0,116189.0,15411981.0,382.0,63.0,255.9229074889868
IVn,brain,fiber tracts,cm,IVn,448.0,37247.0,3621597.0,179.0,8.0,83.140625
IntG,brain,grey,TH,IntG,1448.0,156578.0,17589992.0,174.0,54.0,108.13397790055248
KF,brain,grey,P,PB,11222.0,1144384.0,131250748.0,262.0,12.0,101.97683122438067
LA,brain,grey,CTXsp,LA,53680.0,14830440.0,1651621404.0,513.0,7.0,276.27496274217583
LAV,brain,grey,MY,LAV,18403.0,1169863.0,93231039.0,289.0,13.0,63.56914633483671
LC,brain,grey,P,LC,931.0,166298.0,30460964.0,251.0,84.0,178.62298603651988
LD,brain,grey,TH,LD,65017.0,18423252.0,2172726896.0,561.0,17.0,283.3605364750758
LDT,brain,grey,P,LDT,13054.0,2919009.0,571355899.0,356.0,59.0,223.6103110157806
LGd-co,brain,grey,TH,LGd,26813.0,5071264.0,777283312.0,486.0,30.0,189.1345242979152
LGd-ip,brain,grey,TH,LGd,6134.0,1278556.0,235458418.0,320.0,101.0,208.43756113465926
LGd-sh,brain,grey,TH,LGd,13279.0,2768634.0,415262818.0,484.0,53.0,208.49717599216808
LGv,brain,grey,TH,LGv,25892.0,3912627.0,572859279.0,450.0,32.0,151.11335547659507
LH,brain,grey,TH,LH,22133.0,3396345.0,535274329.0,345.0,23.0,153.45163330773053
LHA,brain,grey,HY,LHA,132570.0,14780370.0,1844408968.0,328.0,4.0,111.49106132609188
LIN,brain,grey,MY,LIN,3948.0,469121.0,61637735.0,314.0,41.0,118.82497467071936
LING,brain,grey,CB,LING,7751.0,1969720.0,227782520.0,488.0,17.0,254.1246290801187
LM,brain,grey,HY,LM,4951.0,633478.0,83580682.0,378.0,5.0,127.94950515047465
LP,brain,grey,TH,LP,77053.0,13563618.0,2338583180.0,427.0,16.0,176.0297198032523
LPO,brain,grey,HY,LPO,35519.0,6115288.0,927391090.0,381.0,41.0,172.16948675356852
LRNm,brain,grey,MY,LRN,32803.0,1791595.0,122842347.0,195.0,8.0,54.61680334115782
LRNp,brain,grey,MY,LRN,3662.0,62002.0,1270576.0,61.0,7.0,16.931185144729657
LSc,brain,grey,STR,LSc,36018.0,6576362.0,1167722560.0,369.0,13.0,182.5854295074685
LSr,brain,grey,STR,LSr,120383.0,26969703.0,3952296343.0,381.0,19.0,224.032487975877
LSv,brain,grey,STR,LSv,38886.0,10330224.0,1034962240.0,414.0,63.0,265.65406573059715
LT,brain,grey,MB,LT,1147.0,123742.0,14330096.0,347.0,30.0,107.88317349607672
MA,brain,grey,PAL,MA,23333.0,3197331.0,463343247.0,567.0,21.0,137.03042900612866
MA3,brain,grey,MB,MA3,1040.0,221790.0,39819570.0,299.0,113.0,213.2596153846154
MARN,brain,grey,MY,MARN,34099.0,2299510.0,176776000.0,186.0,16.0,67.43628845420687
MB-unassigned,brain,grey,MB,MB-unassigned,433116.0,56418720.0,7868025862.0,427.0,0.0,130.2623777463774
MD,brain,grey,TH,MD,88198.0,22316112.0,2837318824.0,524.0,25.0,253.0228803374226
MDRNd,brain,grey,MY,MDRN,69925.0,6678313.0,748824003.0,241.0,0.0,95.50680014301037
MDRNv,brain,grey,MY,MDRN,60123.0,4767007.0,460742877.0,289.0,0.0,79.28757713354291
ME,brain,grey,HY,ME,5077.0,282963.0,18484317.0,137.0,3.0,55.73429190466811
MEA,brain,grey,STR,MEA,129772.0,30222723.0,4599562809.0,417.0,9.0,232.89093949388158
MEPO,brain,grey,HY,MEPO,2595.0,574791.0,81739305.0,486.0,61.0,221.4994219653179
MGd,brain,grey,TH,MG,11021.0,1865183.0,332453129.0,283.0,39.0,169.23899827601852
MGm,brain,grey,TH,MG,16021.0,1771216.0,212867512.0,242.0,43.0,110.55589538730416
MGv,brain,grey,TH,MG,17737.0,2871537.0,480300311.0,321.0,31.0,161.89530360263856
MH,brain,grey,TH,MH,20492.0,2424130.0,342445806.0,401.0,0.0,118.2964083544798
MMd,brain,grey,HY,MM,4877.0,1120850.0,154020174.0,461.0,19.0,229.8236620873488
MMl,brain,grey,HY,MM,13659.0,1661691.0,212517075.0,351.0,10.0,121.65539204919833
MMm,brain,grey,HY,MM,8710.0,1533153.0,267450797.0,341.0,69.0,176.02215843857635
MMme,brain,grey,HY,MM,4967.0,817091.0,135256779.0,326.0,61.0,164.5039259110127
MMp,brain,grey,HY,MM,2388.0,352082.0,54156670.0,343.0,31.0,147.43802345058626
MOB-unassigned,brain,grey,OLF,MOB,275247.0,75883382.0,8874620296.0,1965.0,1.0,275.69194941270933
MOBgr,brain,grey,OLF,MOB,331664.0,47443633.0,7429237469.0,1427.0,3.0,143.04727977712383
MOBipl,brain,grey,OLF,MOB,66301.0,13905947.0,2326651743.0,431.0,3.0,209.7396268532903
MOBmi,brain,grey,OLF,MOB,68709.0,19131169.0,2247631853.0,495.0,6.0,278.4375991500386
MOBopl,brain,grey,OLF,MOB,322657.0,116338045.0,10558927323.0,1131.0,2.0,360.56259433392114
MOp1,brain,grey,Isocortex,MOp,85116.0,24225142.0,2765434492.0,712.0,4.0,284.61325720193616
MOp2/3,brain,grey,Isocortex,MOp,236101.0,83252797.0,7724806015.0,749.0,25.0,352.6151816383666
MOp5,brain,grey,Isocortex,MOp,209457.0,81294095.0,6816323885.0,627.0,55.0,388.11830113101973
MOp6a,brain,grey,Isocortex,MOp,184072.0,52537788.0,6037100636.0,587.0,25.0,285.41977052457736
MOp6b,brain,grey,Isocortex,MOp,11852.0,1563953.0,217763331.0,262.0,30.0,131.95688491393858
MOs1,brain,grey,Isocortex,MOs,148747.0,37490355.0,4951847341.0,3595.0,3.0,252.04108318150955
MOs2/3,brain,grey,Isocortex,MOs,243488.0,74392145.0,8023390399.0,501.0,40.0,305.5269458864503
