structure,organ,category,division,count,sum,sum_squared,max,min,mean
FRP,brain,grey,Isocortex,62227.0,17607015.0,2105804293.0,2138.0,3.0,282.948157552188
FS,brain,grey,STR,27633.0,7662354.0,889053884.0,1364.0,17.0,277.2899793724894
GPe,brain,grey,PAL,100114.0,14572927.0,2215316493.0,376.0,13.0,145.5633278063008
GPi,brain,grey,PAL,27100.0,1595271.0,123708631.0,275.0,10.0,58.86608856088561
GR,brain,grey,MY,5232.0,461530.0,46182606.0,337.0,20.0,88.21292048929664
GRN,brain,grey,MY,167474.0,9441203.0,608273443.0,188.0,9.0,56.374141657809574
GU,brain,grey,Isocortex,113196.0,34304463.0,3682009343.0,1913.0,5.0,303.05366797413336
HATA,brain,grey,HPF,27017.0,7457815.0,890218879.0,1211.0,44.0,276.04156642114225
HPF-unassigned,brain,grey,HPF,26960.0,4339537.0,603538403.0,651.0,1.0,160.96205489614243
HY-unassigned,brain,grey,HY,176430.0,42428961.0,5412367667.0,862.0,8.0,240.4860908008842
I5,brain,grey,P,2819.0,240658.0,21445714.0,153.0,41.0,85.36998935792835
IA,brain,grey,STR,11701.0,3594262.0,376638048.0,1441.0,125.0,307.17562601487055
IAD,brain,grey,TH,7225.0,1775557.0,263622065.0,515.0,116.0,245.7518339100346
IAM,brain,grey,TH,2742.0,828898.0,86355650.0,463.0,94.0,302.2968636032093
IC,brain,grey,MB,284601.0,71723203.0,8951072743.0,527.0,36.0,252.0131798553062
ICB,brain,grey,MY,3458.0,132693.0,5531713.0,87.0,17.0,38.37275882012724
IF,brain,grey,MB,5559.0,997668.0,155037690.0,457.0,21.0,179.46896923907178
IG,brain,grey,HPF,7958.0,1789291.0,199345493.0,1114.0,2.0,224.8417944207087
IGL,brain,grey,TH,4415.0,438202.0,45933928.0,218.0,23.0,99.25300113250283
III,brain,grey,MB,2084.0,248851.0,30590165.0,183.0,43.0,119.41026871401152
IIIn,brain,fiber tracts,cm,13331.0,496579.0,35084717.0,306.0,7.0,37.24994374015453
IIn,brain,fiber tracts,cm,83438.0,1915719.0,91935515.0,248.0,0.0,22.959790503128072
ILA,brain,grey,Isocortex,53963.0,19109947.0,1844480447.0,2141.0,26.0,354.130552415544
IMD,brain,grey,TH,11270.0,3031298.0,329036584.0,468.0,115.0,268.97054125998227
IO,brain,grey,MY,32619.0,2390650.0,215897960.0,230.0,14.0,73.29010699285692
IP,brain,grey,CB,55134.0,6824296.0,938726980.0,318.0,22.0,123.77654441905176
IPN,brain,grey,MB,22817.0,5562006.0,681200218.0,707.0,17.0,243.7658763202875
IRN,brain,grey,MY,177667.0,16638119.0,1736698661.0,244.0,0.0,93.6477736439519
ISN,brain,grey,MY,460.0,83754.0,15001246.0,293.0,100.0,182.07391304347826
IV,brain,grey,MB,454.0,103346.0,15438524.0,324.0,52.0,227.63436123348018
IVn,brain,fiber tracts,cm,448.0,36084.0,3499740.0,194.0,8.0,80.54464285714286
In,brain,fiber tracts,cm,377112.0,40660017.0,5832058635.0,5187.0,0.0,107.81947272958696
IntG,brain,grey,TH,1448.0,145576.0,15356014.0,171.0,49.0,100.53591160220995
LA,brain,grey,CTXsp,53680.0,20295172.0,1759541114.0,3348.0,5.0,378.0769746646796
LAV,brain,grey,MY,18403.0,1007619.0,70834607.0,271.0,9.0,54.752975058414386
LC,brain,grey,P,931.0,171834.0,32607858.0,270.0,74.0,184.56928034371643
LD,brain,grey,TH,65017.0,16203094.0,2238625330.0,721.0,11.0,249.21319039635787
LDT,brain,grey,P,13054.0,3220053.0,452058557.0,1038.0,49.0,246.67174812318063
LGd,brain,grey,TH,46226.0,7870063.0,1286701321.0,515.0,30.0,170.25187124129278
LGv,brain,grey,TH,25892.0,3651902.0,508120316.0,1648.0,27.0,141.0436428240383
LH,brain,grey,TH,22133.0,4049467.0,616097803.0,411.0,18.0,182.9606018162924
LHA,brain,grey,HY,132570.0,15956358.0,2122520422.0,577.0,4.0,120.36175605340574
LIN,brain,grey,MY,3948.0,428516.0,52699464.0,295.0,34.0,108.54002026342452
LING,brain,grey,CB,7751.0,1732876.0,220297028.0,529.0,12.0,223.5680557347439
LM,brain,grey,HY,4951.0,644378.0,84069512.0,426.0,4.0,130.15108058977984
LP,brain,grey,TH,77053.0,12327721.0,2023805955.0,407.0,13.0,159.99014963726268
LPO,brain,grey,HY,35519.0,6791710.0,992418438.0,513.0,40.0,191.21343506292408
LRN,brain,grey,MY,36465.0,1671716.0,104057458.0,186.0,5.0,45.84439873851638
LSc,brain,grey,STR,36018.0,8356277.0,1129737119.0,2795.0,12.0,232.00280415347882
LSr,brain,grey,STR,120383.0,28783365.0,3896884889.0,1324.0,15.0,239.09825307560038
LSv,brain,grey,STR,38886.0,10887426.0,1130168782.0,614.0,54.0,279.9831816077766
LT,brain,grey,MB,1147.0,122610.0,14062758.0,344.0,30.0,106.89625108979948
MA,brain,grey,PAL,23333.0,3484420.0,533935698.0,1346.0,18.0,149.33441906312947
MA3,brain,grey,MB,1040.0,200855.0,37968467.0,274.0,95.0,193.12980769230768
MARN,brain,grey,MY,34099.0,2093868.0,148424554.0,177.0,14.0,61.40555441508548
MB-unassigned,brain,grey,MB,433116.0,57799780.0,7935626024.0,611.0,1.0,133.45103852085816
MD,brain,grey,TH,88198.0,20622787.0,3020066435.0,737.0,18.0,233.82374883784212
MDRN,brain,grey,MY,130048.0,10678047.0,1067727481.0,265.0,0.0,82.10850609005905
ME,brain,grey,HY,5077.0,255209.0,15798767.0,142.0,2.0,50.26767776245814
MEA,brain,grey,STR,129772.0,34762001.0,4111363691.0,1518.0,7.0,267.8698101285331
MEPO,brain,grey,HY,2595.0,564983.0,79052593.0,484.0,64.0,217.7198458574181
MG,brain,grey,TH,44779.0,5732366.0,822286736.0,300.0,29.0,128.01460506040777
MH,brain,grey,TH,20492.0,2056261.0,261047299.0,360.0,0.0,100.34457349209448
MM,brain,grey,HY,34601.0,6055977.0,914638489.0,429.0,7.0,175.02317852085199
MOB,brain,grey,OLF,1064578.0,266816856.0,31736605270.0,2705.0,1.0,250.6315704438754
MOp,brain,grey,Isocortex,726598.0,276975188.0,23973019648.0,4810.0,1.0,381.1945367314526
MOs,brain,grey,Isocortex,838678.0,290677920.0,26967186590.0,3546.0,2.0,346.59061046074896
MPN,brain,grey,HY,25896.0,7975023.0,920563217.0,561.0,96.0,307.9635078776645
MPO,brain,grey,HY,35645.0,11426417.0,1232423301.0,489.0,131.0,320.56156543694766
MPT,brain,grey,MB,2821.0,526114.0,81176544.0,424.0,51.0,186.49911378943636
MRN,brain,grey,MB,329045.0,25782823.0,2296289527.0,310.0,2.0,78.3565257031713
MS,brain,grey,PAL,26547.0,6062409.0,688247371.0,584.0,29.0,228.36512600293818
MT,brain,grey,MB,2753.0,494578.0,73774470.0,415.0,8.0,179.65056302215766
MV,brain,grey,MY,116330.0,14638017.0,1989366723.0,456.0,8.0,125.83183185764635
MY-unassigned,brain,grey,MY,340254.0,11842341.0,963033645.0,473.0,0.0,34.80441376148407
NB,brain,grey,MB,5607.0,399888.0,31238520.0,165.0,25.0,71.31942215088283
NDB,brain,grey,PAL,47280.0,10265398.0,1471485240.0,693.0,7.0,217.11924703891708
NI,brain,grey,P,6776.0,1394822.0,256984518.0,418.0,51.0,205.8474025974026
NLL,brain,grey,P,46328.0,4351138.0,469160310.0,292.0,20.0,93.92026420307373
NLOT,brain,grey,OLF,20395.0,6203250.0,678250000.0,1886.0,82.0,304.1554302525129
NOD,brain,grey,CB,97149.0,25816644.0,3248860094.0,5124.0,8.0,265.7427662662508
NOT,brain,grey,MB,13159.0,2032286.0,330117354.0,349.0,34.0,154.44076297591002
NPC,brain,grey,MB,18484.0,3156488.0,529775206.0,353.0,53.0,170.76866479117075
NR,brain,grey,MY,1943.0,376481.0,65570717.0,348.0,71.0,193.76273803396808
NTB,brain,grey,MY,9895.0,422361.0,20154287.0,113.0,11.0,42.684284992420416
NTS,brain,grey,MY,54354.0,9258299.0,1410184759.0,424.0,22.0,170.33335173124334
OLF-unassigned,brain,grey,OLF,320150.0,78463321.0,8981729025.0,2956.0,0.0,245.08299547087302
OP,brain,grey,MB,3733.0,723383.0,121294311.0,326.0,49.0,193.78060541119743
ORBl,brain,grey,Isocortex,174531.0,59378096.0,5672554928.0,2106.0,11.0,340.2151824031261
ORBm,brain,grey,Isocortex,89466.0,30037224.0,2945252940.0,1907.0,3.0,335.7389846422104
ORBvl,brain,grey,Isocortex,113723.0,38159807.0,3801529185.0,2410.0,62.0,335.55047791563715
OT,brain,grey,STR,244420.0,65356535.0,8059760189.0,1166.0,2.0,267.3943826200802
OV,brain,grey,HY,560.0,62695.0,7389035.0,221.0,49.0,111.95535714285714
P-unassigned,brain,grey,P,231346.0,12087812.0,1046906760.0,448.0,0.0,52.24992867825681
P5,brain,grey,P,20516.0,2489022.0,324176654.0,248.0,26.0,121.32101774224995
PA,brain,grey,CTXsp,61821.0,20684328.0,2045456070.0,3841.0,65.0,334.5841704275246
PAA,brain,grey,OLF,76240.0,20999991.0,2436271725.0,1455.0,52.0,275.4458420776495
PAG,brain,grey,MB,300258.0,62920069.0,9833957267.0,912.0,7.0,209.55334745452245
PAL-unassigned,brain,grey,PAL,72279.0,8867921.0,1230768329.0,1293.0,1.0,122.69014513205772
PAR,brain,grey,HPF,59690.0,20729173.0,1954222467.0,4008.0,14.0,347.28049924610485
PARN,brain,grey,MY,143835.0,11442744.0,1075158706.0,239.0,8.0,79.55465637709877
PAS,brain,grey,MY,1790.0,194966.0,22851610.0,223.0,41.0,108.9195530726257
PB,brain,grey,P,71766.0,9704923.0,1344884029.0,391.0,7.0,135.2300950310732
PBG,brain,grey,MB,2852.0,332576.0,41747288.0,236.0,43.0,116.61150070126227
PC5,brain,grey,P,4487.0,406586.0,46264468.0,310.0,8.0,90.61421885446846
PCG,brain,grey,P,34776.0,7955976.0,1181716818.0,580.0,28.0,228.77777777777777
PCN,brain,grey,TH,15258.0,3187641.0,581178719.0,512.0,61.0,208.91604404246954
PD,brain,grey,HY,743.0,270650.0,23152314.0,464.0,284.0,364.2664872139973
PDTg,brain,grey,P,3062.0,701869.0,116166705.0,474.0,104.0,229.21913781841934
PERI,brain,grey,Isocortex,50565.0,12176186.0,1627108820.0,1158.0,0.0,240.80265005438545
PF,brain,grey,TH,31335.0,5043020.0,829803084.0,377.0,61.0,160.93888622945587
PFL,brain,grey,CB,366493.0,68554111.0,11306430905.0,2811.0,0.0,187.05435301629225
PG,brain,grey,P,61699.0,4139731.0,338481193.0,272.0,9.0,67.09559312144444
PGRNd,brain,grey,MY,15277.0,1001320.0,78349506.0,222.0,12.0,65.5442822543693
PGRNl,brain,grey,MY,45444.0,2575538.0,180828324.0,202.0,9.0,56.67498459642637
PH,brain,grey,HY,45251.0,11956433.0,1343807557.0,469.0,58.0,264.22472431548476
PIL,brain,grey,TH,11240.0,1585842.0,240778648.0,267.0,39.0,141.08914590747332
PIR,brain,grey,OLF,740202.0,241077497.0,24141676505.0,3808.0,4.0,325.69149637531376
PL,brain,grey,Isocortex,154127.0,56188380.0,4944441298.0,2865.0,10.0,364.55896760463776
PMd,brain,grey,HY,8433.0,2098012.0,281496824.0,409.0,79.0,248.78595991936442
PMv,brain,grey,HY,12528.0,2695392.0,497605008.0,360.0,105.0,215.1494252873563
PN,brain,grey,MB,1406.0,229930.0,37167720.0,306.0,51.0,163.5348506401138
PO,brain,grey,TH,80140.0,15291695.0,2713192435.0,396.0,22.0,190.81226603443974
POL,brain,grey,TH,13149.0,1280090.0,145203810.0,291.0,27.0,97.35265039166477
POST,brain,grey,HPF,69144.0,17011016.0,2172986062.0,1491.0,21.0,246.0230244128196
PP,brain,grey,TH,3932.0,526147.0,75070163.0,237.0,53.0,133.8115462868769
PPN,brain,grey,MB,56987.0,4390964.0,393175310.0,284.0,14.0,77.05202941021636
PPT,brain,grey,MB,9225.0,1503764.0,255081764.0,598.0,68.0,163.00964769647697
PPY,brain,grey,MY,6058.0,259470.0,13326162.0,113.0,10.0,42.830967315945855
PR,brain,grey,TH,9697.0,3653945.0,327385535.0,778.0,129.0,376.81190058781067
PRE,brain,grey,HPF,59134.0,18320686.0,1938079132.0,2904.0,13.0,309.81645077282104
PRM,brain,grey,CB,312452.0,90000310.0,10506476416.0,4838.0,7.0,288.0452357482109
PRNc,brain,grey,P,150278.0,9071459.0,602855543.0,143.0,13.0,60.36451776041736
PRNr,brain,grey,P,151264.0,10600138.0,798498212.0,212.0,1.0,70.07707055214723
PRP,brain,grey,MY,15398.0,1855705.0,234552639.0,273.0,41.0,120.51597610079232
PS,brain,grey,HY,6173.0,2717798.0,201085620.0,1041.0,290.0,440.27182893244776
PST,brain,grey,HY,816.0,88532.0,10926776.0,203.0,43.0,108.49509803921569
PSTN,brain,grey,HY,10628.0,1852784.0,332878402.0,312.0,39.0,174.3304478735416
PSV,brain,grey,P,70327.0,6923795.0,815859947.0,268.0,7.0,98.45144823467515
PT,brain,grey,TH,14706.0,5158814.0,476117456.0,2788.0,78.0,350.796545627635
PVH,brain,grey,HY,12076.0,2923294.0,368969186.0,801.0,47.0,242.0746936071547
PVHd,brain,grey,HY,8369.0,2669248.0,280034932.0,479.0,55.0,318.9446767833672
PVT,brain,grey,TH,28430.0,7828064.0,887948642.0,1710.0,2.0,275.345198733732
PVa,brain,grey,HY,3191.0,469669.0,73798451.0,226.0,50.0,147.18552178000627
PVi,brain,grey,HY,12826.0,2079223.0,345260635.0,362.0,24.0,162.11001091532825
PVp,brain,grey,HY,8126.0,1044679.0,149075743.0,436.0,7.0,128.5600541471819
PVpo,brain,grey,HY,9158.0,1544890.0,259834438.0,330.0,44.0,168.69294605809128
PYR,brain,grey,CB,79865.0,28733524.0,2620456466.0,1001.0,26.0,359.77617229074065
Pa4,brain,grey,MB,1025.0,78449.0,6519933.0,186.0,20.0,76.53560975609756
Pa5,brain,grey,MY,6563.0,195731.0,10131613.0,152.0,5.0,29.823403931129057
PeF,brain,grey,HY,13728.0,3350571.0,454907373.0,446.0,73.0,244.06840034965035
PoT,brain,grey,TH,17909.0,1185004.0,86786238.0,155.0,18.0,66.1680719191468
ProS,brain,grey,HPF,83191.0,28194923.0,2800252499.0,2363.0,22.0,338.91794785493624
RCH,brain,grey,HY,9449.0,1535569.0,263111359.0,992.0,15.0,162.51127103397184
RE,brain,grey,TH,27167.0,9532663.0,849746695.0,959.0,115.0,350.89126513785106
RH,brain,grey,TH,5829.0,1478175.0,201408315.0,661.0,118.0,253.58980957282552
RL,brain,grey,MB,3546.0,207102.0,17947700.0,209.0,11.0,58.404399323181046
RM,brain,grey,MY,7657.0,630027.0,58440843.0,173.0,18.0,82.2811806190414
RN,brain,grey,MB,50443.0,3575393.0,280506963.0,195.0,16.0,70.87986440140357
RO,brain,grey,MY,2455.0,110736.0,5907116.0,154.0,11.0,45.10631364562118
RPA,brain,grey,MY,4336.0,98411.0,3844357.0,118.0,2.0,22.696263837638377
RPF,brain,grey,MB,3993.0,644733.0,110077817.0,263.0,38.0,161.46581517655898
RPO,brain,grey,P,6164.0,281733.0,15820335.0,187.0,9.0,45.70619727449708
RR,brain,grey,MB,8846.0,998535.0,121609547.0,233.0,36.0,112.87983269274248
RSPagl,brain,grey,Isocortex,150743.0,48484575.0,4793535485.0,3341.0,4.0,321.6373231261153
RSPd,brain,grey,Isocortex,242928.0,77151365.0,7860644309.0,2945.0,3.0,317.5894297898966
RSPv,brain,grey,Isocortex,278392.0,89709553.0,9073924939.0,4656.0,4.0,322.2418496221156
RT,brain,grey,TH,92624.0,13513481.0,1899826827.0,1532.0,22.0,145.8961068405597
SAG,brain,grey,MB,6286.0,1164344.0,215010322.0,312.0,69.0,185.228125994273
SBPV,brain,grey,HY,7008.0,1682720.0,233315650.0,414.0,86.0,240.11415525114154
SCH,brain,grey,HY,4229.0,648043.0,105997471.0,301.0,28.0,153.23788129581462
SCO,brain,grey,MB,905.0,66269.0,5977721.0,161.0,7.0,73.22541436464088
SCm,brain,grey,MB,362060.0,82559010.0,11708136580.0,484.0,21.0,228.02576920952328
SCs,brain,grey,MB,138134.0,35007690.0,4207807684.0,561.0,9.0,253.43282609639914
SEZ,brain,VS,VL,8738.0,1102748.0,153005124.0,430.0,5.0,126.20141908903639
SF,brain,grey,STR,30348.0,2937808.0,350609960.0,600.0,11.0,96.80400685382892
SFO,brain,grey,HY,1382.0,144419.0,17666047.0,371.0,19.0,104.5
SG,brain,grey,P,1111.0,232286.0,39289874.0,317.0,83.0,209.07830783078307
SGN,brain,grey,TH,11633.0,1411502.0,186476286.0,240.0,21.0,121.33602682025273
SH,brain,grey,STR,2380.0,681024.0,76562544.0,829.0,72.0,286.14453781512606
SI,brain,grey,PAL,193782.0,48031660.0,6215836632.0,1961.0,23.0,247.8644043306396
SIM,brain,grey,CB,364470.0,115038563.0,12352036839.0,2351.0,7.0,315.6324608335391
SLC,brain,grey,P,1694.0,213072.0,28964648.0,321.0,41.0,125.78040141676506
SLD,brain,grey,P,3015.0,554138.0,101683422.0,308.0,36.0,183.79369817578774
SMT,brain,grey,TH,19682.0,5197397.0,588750377.0,557.0,42.0,264.0685397825424
SNc,brain,grey,MB,12629.0,2498159.0,372467427.0,417.0,54.0,197.8113073085755
SNr,brain,grey,MB,99080.0,20058439.0,2748404785.0,481.0,18.0,202.44690149374242
SO,brain,grey,HY,2998.0,534925.0,75737469.0,383.0,12.0,178.42728485657105
SOC,brain,grey,P,57533.0,4002279.0,347903075.0,271.0,7.0,69.5649279543914
SPA,brain,grey,TH,8454.0,2207136.0,297022254.0,688.0,52.0,261.07594038325055
SPFm,brain,grey,TH,4449.0,1053996.0,176176550.0,964.0,81.0,236.90627107215104
SPFp,brain,grey,TH,8597.0,894189.0,100678615.0,217.0,31.0,104.01174828428522
SPIV,brain,grey,MY,47927.0,3682913.0,324157903.0,350.0,8.0,76.84422142007637
SPVC,brain,grey,MY,107628.0,12400505.0,1603243703.0,321.0,0.0,115.21634704723678
SPVI,brain,grey,MY,118142.0,11505097.0,1330068343.0,312.0,6.0,97.38363156201859
SPVO,brain,grey,MY,63978.0,5917995.0,674070251.0,298.0,12.0,92.50046891118822
SSp-bfd,brain,grey,Isocortex,402576.0,164835866.0,12963571010.0,4003.0,16.0,409.45278903859145
SSp-ll,brain,grey,Isocortex,150565.0,62318291.0,4962035553.0,4586.0,19.0,413.89626407199546
SSp-m,brain,grey,Isocortex,397621.0,153853035.0,12996091005.0,3392.0,2.0,386.93387673186277
SSp-n,brain,grey,Isocortex,193233.0,77181809.0,6218854669.0,3877.0,8.0,399.42354049256596
SSp-tr,brain,grey,Isocortex,89647.0,35973269.0,2985386021.0,2040.0,12.0,401.2768860084554
SSp-ul,brain,grey,Isocortex,241336.0,99396126.0,7793476196.0,3827.0,8.0,411.8578496370206
SSp-un,brain,grey,Isocortex,80794.0,33057560.0,2593491912.0,3619.0,29.0,409.1586008862044
SSs,brain,grey,Isocortex,577488.0,197701698.0,19011946814.0,3658.0,0.0,342.3477163161832
STN,brain,grey,HY,12463.0,2098320.0,350043040.0,433.0,39.0,168.3639573136484
STR-unassigned,brain,grey,STR,171564.0,43475822.0,5377761020.0,2447.0,1.0,253.40876873936256
SUB,brain,grey,HPF,134607.0,36756336.0,4341037402.0,2008.0,3.0,273.0640754195547
SUM,brain,grey,HY,16305.0,3239594.0,492095812.0,541.0,21.0,198.68715118061945
SUT,brain,grey,P,16640.0,2120202.0,287876132.0,251.0,49.0,127.41598557692308
SUV,brain,grey,MY,22659.0,1805433.0,161369315.0,438.0,19.0,79.67840593141798
SubG,brain,grey,TH,1725.0,279513.0,46607269.0,296.0,65.0,162.03652173913042
TEa,brain,grey,Isocortex,198801.0,54545555.0,6470651811.0,1928.0,3.0,274.37263897062894
TH-unassigned,brain,grey,TH,58834.0,9877289.0,1176941909.0,1074.0,15.0,167.8840296427236
TMd,brain,grey,HY,2243.0,347628.0,55090578.0,304.0,42.0,154.983504235399
TMv,brain,grey,HY,6931.0,1206736.0,217749652.0,287.0,10.0,174.10705525898138
TR,brain,grey,OLF,89508.0,28929170.0,3004475930.0,1888.0,36.0,323.20206015104793
TRN,brain,grey,P,44144.0,2827409.0,221455831.0,198.0,12.0,64.04967832548024
TRS,brain,grey,PAL,22804.0,3066575.0,409053279.0,671.0,10.0,134.47531134888615
TT,brain,grey,OLF,92424.0,27767696.0,2935628786.0,1495.0,4.0,300.4381545918809
