parcellation_index,organ,category,division,structure,substructure,count,min,max,sum,sum_squared,mean
37,brain,grey,MB,SCm,SCdw,21283.0,34.0,341.0,4031594.0,706658606.0,189.42790020203918
45,brain,grey,MB,PAG,PRC,10968.0,15.0,349.0,1838356.0,324596362.0,167.61086797957694
47,brain,grey,HPF,ENTl,ENTl3,84281.0,36.0,325.0,18627474.0,3632514854.0,221.01629074168557
49,brain,fiber tracts,mfbs,mfsbshy,mfb,3186.0,62.0,250.0,424618.0,59890624.0,133.27620841180163
51,brain,grey,STR,ACB,ACB,281489.0,30.0,610.0,101651079.0,9286489613.0,361.11918760591
53,brain,grey,MB,MT,MT,2753.0,11.0,361.0,479720.0,75708096.0,174.25354159099166
54,brain,grey,TH,IMD,IMD,11270.0,125.0,360.0,3084302.0,282129006.0,273.67364685004435
57,brain,fiber tracts,cm,IIIn,mlf,9452.0,10.0,130.0,231685.0,7851399.0,24.5117435463394
58,brain,grey,HY,PVHd,PVHd,8369.0,65.0,413.0,2536194.0,255590520.0,303.046242083881
59,brain,grey,TH,AD,AD,10248.0,29.0,685.0,3470956.0,317652138.0,338.6959406713505
61,brain,grey,MB,LT,LT,1147.0,30.0,347.0,123742.0,14330096.0,107.88317349607672
62,brain,grey,MB,PAG,INC,5086.0,32.0,225.0,438817.0,43715971.0,86.27939441604404
63,brain,grey,Isocortex,FRP,FRP1,16219.0,5.0,752.0,3118935.0,577485793.0,192.30131327455453
67,brain,grey,HY,ADP,ADP,6385.0,173.0,438.0,2184094.0,246122900.0,342.0664056382146
69,brain,grey,Isocortex,VISl,VISl6a,13260.0,157.0,442.0,3463729.0,433163199.0,261.21636500754147
70,brain,grey,MB,DT,DT,725.0,16.0,186.0,59810.0,6031124.0,82.49655172413793
73,brain,fiber tracts,cbf,cbp,mcp,69910.0,1.0,126.0,827413.0,12370383.0,11.835402660563581
76,brain,VS,VL,VL-unassigned,VL-unassigned,137710.0,0.0,570.0,7121796.0,732259312.0,51.715895722895944
78,brain,grey,MY,IO,IO,32619.0,17.0,221.0,2470654.0,224230736.0,75.74278794567583
79,brain,grey,Isocortex,PL,PL6a,29663.0,52.0,420.0,8126718.0,988603714.0,273.968175841958
83,brain,grey,HY,AHN,AHN,45466.0,58.0,409.0,12532066.0,1419365270.0,275.635991730084
86,brain,grey,CB,IP,IP,55134.0,28.0,333.0,7448416.0,1103927852.0,135.09660100845213
88,brain,fiber tracts,cm,Vn,moV,3816.0,2.0,62.0,30790.0,310816.0,8.068658280922431
91,brain,grey,MY,DCO,DCO,39123.0,23.0,590.0,7402915.0,1071476995.0,189.22155765150933
92,brain,grey,Isocortex,TEa,TEa1,34006.0,5.0,346.0,6535628.0,1242759916.0,192.1904369817091
93,brain,VS,VL,SEZ,SEZ,8738.0,7.0,400.0,1033431.0,136070311.0,118.2685969329366
95,brain,grey,MB,IPN,IPN-unassigned,777.0,38.0,219.0,74957.0,8015061.0,96.46975546975547
96,brain,grey,MY,VCO,VCO,65124.0,9.0,442.0,6237610.0,733425208.0,95.78051102512131
97,brain,fiber tracts,eps,epsc,nst,7192.0,18.0,296.0,744944.0,94586864.0,103.57953281423804
100,brain,grey,P,SOC,SOCm,12516.0,30.0,184.0,989952.0,83779572.0,79.09491850431448
101,brain,grey,MY,ISN,ISN,460.0,109.0,324.0,90880.0,16179578.0,197.56521739130434
103,brain,VS,VL,chpl,chpl,92456.0,0.0,574.0,4131601.0,294362277.0,44.687213377174004
108,brain,grey,Isocortex,SSp-ll,SSp-ll2/3,41382.0,96.0,482.0,14646467.0,1308002153.0,353.93328017012226
109,brain,grey,P,SOC,SOCl,21655.0,16.0,284.0,2008476.0,221543788.0,92.74883398753175
110,brain,grey,MB,IV,IV,454.0,63.0,382.0,116189.0,15411981.0,255.9229074889868
112,brain,fiber tracts,cm,IIn,och,19633.0,2.0,120.0,280277.0,4893323.0,14.275811134314674
113,brain,grey,HY,PVi,PVi,12826.0,29.0,331.0,1927604.0,309521868.0,150.2887883985654
115,brain,grey,Isocortex,AIp,AIp1,27060.0,4.0,431.0,6537270.0,906639454.0,241.58425720620843
116,brain,grey,Isocortex,VISl,VISl6b,2465.0,96.0,274.0,443070.0,80974918.0,179.7444219066937
117,brain,grey,P,SOC,POR,23362.0,10.0,203.0,1336720.0,96869884.0,57.21770396370174
118,brain,grey,P,PB,KF,11222.0,12.0,262.0,1144384.0,131250748.0,101.97683122438067
120,brain,fiber tracts,cm,IIn,opt,44749.0,0.0,158.0,810935.0,21734025.0,18.121857471675344
121,brain,grey,HY,PVp,PVp,8126.0,7.0,563.0,996122.0,134031342.0,122.58454344080728
123,brain,grey,MB,MRN,MRN,329045.0,1.0,278.0,27797667.0,2613180367.0,84.47983406524943
124,brain,VS,V3,V3-unassigned,V3-unassigned,57603.0,0.0,409.0,3504636.0,381704264.0,60.841206187177754
126,brain,grey,CTXsp,LA,LA,53680.0,7.0,513.0,14830440.0,1651621404.0,276.27496274217583
127,brain,grey,Isocortex,PL,PL6b,1371.0,88.0,243.0,213114.0,34485664.0,155.44420131291028
128,brain,grey,HY,PVpo,PVpo,9158.0,43.0,323.0,1469216.0,246284338.0,160.42978816335443
131,brain,grey,MY,IRN,IRN,177667.0,0.0,271.0,18111144.0,2045548876.0,101.93870555589952
134,brain,grey,HPF,ENTl,ENTl5,91401.0,35.0,373.0,21966048.0,3772835544.0,240.3261233465717
135,brain,VS,AQ,AQ,AQ,25997.0,1.0,434.0,1251506.0,141005610.0,48.140400815478706
138,brain,grey,MY,AMB,AMBv,1404.0,51.0,184.0,135336.0,13721126.0,96.3931623931624
140,brain,VS,V4,V4-unassigned,V4-unassigned,32104.0,0.0,439.0,2135364.0,239826950.0,66.51395464739596
141,brain,grey,P,PRNr,PRNr,151264.0,1.0,174.0,11714539.0,968352201.0,77.44432911994923
142,brain,grey,P,LC,LC,931.0,84.0,251.0,166298.0,30460964.0,178.62298603651988
143,brain,grey,Isocortex,GU,GU4,9427.0,99.0,465.0,3169656.0,299531672.0,336.2316749761324
144,brain,grey,TH,PVT,PVT,28430.0,3.0,431.0,6661489.0,905764593.0,234.31195919803025
148,brain,VS,V4,V4r,V4r,29653.0,1.0,634.0,2328693.0,248715585.0,78.53144707112266
150,brain,grey,TH,LD,LD,65017.0,17.0,561.0,18423252.0,2172726896.0,283.3605364750758
151,brain,grey,Isocortex,AUDd,AUDd6a,11802.0,135.0,355.0,3059280.0,335831558.0,259.2170818505338
153,brain,fiber tracts,cm,IIIn,pc,3358.0,19.0,193.0,207336.0,15462756.0,61.74389517569982
154,brain,grey,OLF,AON,AON,311188.0,26.0,731.0,82264555.0,9782565351.0,264.3564501201846
157,brain,grey,P,LDT,LDT,13054.0,59.0,356.0,2919009.0,571355899.0,223.6103110157806
158,brain,grey,Isocortex,AIp,AIp2/3,51401.0,56.0,362.0,11498999.0,1883754803.0,223.7115814867415
159,brain,VS,c,c,c,31.0,63.0,174.0,4327.0,633749.0,139.58064516129033
164,brain,grey,MY,PRP,PRP,15398.0,48.0,305.0,2115874.0,302091460.0,137.4122613326406
166,brain,grey,Isocortex,PL,PL1,33240.0,13.0,739.0,10778490.0,1129393166.0,324.26263537906135
167,brain,grey,HY,RCH,RCH,9449.0,19.0,257.0,1342552.0,209186234.0,142.0840300560906
170,brain,grey,MY,NR,NR,1943.0,75.0,369.0,404952.0,66306110.0,208.41585177560472
171,brain,grey,TH,LGv,LGv,25892.0,32.0,450.0,3912627.0,572859279.0,151.11335547659507
173,brain,grey,Isocortex,GU,GU2/3,25735.0,33.0,433.0,6930918.0,862288282.0,269.3187487857004
174,brain,grey,TH,RE,RE,27167.0,121.0,437.0,8614865.0,877458265.0,317.10770419994844
179,brain,grey,TH,LH,LH,22133.0,23.0,345.0,3396345.0,535274329.0,153.45163330773053
180,brain,grey,Isocortex,GU,GU5,34860.0,46.0,483.0,10430445.0,1093556873.0,299.2095524956971
181,brain,grey,OLF,AOB,AOBgl,9886.0,47.0,445.0,1449343.0,222324447.0,146.6056038842808
182,brain,grey,TH,RH,RH,5829.0,139.0,398.0,1657437.0,190920529.0,284.34328358208955
183,brain,fiber tracts,lfbs,cst,py,35873.0,2.0,30.0,354031.0,3718015.0,9.869010119031026
187,brain,grey,HY,LHA,LHA,132570.0,4.0,328.0,14780370.0,1844408968.0,111.49106132609188
189,brain,grey,OLF,AOB,AOBgr,10076.0,42.0,215.0,1175303.0,146855137.0,116.64380706629615
190,brain,grey,MB,RL,RL,3546.0,14.0,198.0,215383.0,18445395.0,60.73970671178793
191,brain,fiber tracts,lfbs,cst,pyd,4412.0,2.0,39.0,60927.0,969075.0,13.80938349954669
194,brain,grey,Isocortex,SSp-bfd,SSp-bfd2/3,97044.0,135.0,561.0,34517314.0,3144693924.0,355.6872552656527
195,brain,grey,MY,MV,MV,116330.0,12.0,518.0,16916270.0,2600496688.0,145.41622969139516
196,brain,grey,MY,LIN,LIN,3948.0,41.0,314.0,469121.0,61637735.0,118.82497467071936
197,brain,grey,OLF,AOB,AOBmi,17668.0,59.0,290.0,3572823.0,665401833.0,202.22000226398006
199,brain,grey,MY,RM,RM,7657.0,20.0,183.0,657180.0,63343526.0,85.8273475251404
200,brain,grey,MY,AP,AP,3397.0,19.0,547.0,319870.0,31630724.0,94.1624963202826
202,brain,grey,MY,LAV,LAV,18403.0,13.0,289.0,1169863.0,93231039.0,63.56914633483671
203,brain,grey,HY,LM,LM,4951.0,5.0,378.0,633478.0,83580682.0,127.94950515047465
204,brain,grey,Isocortex,ACAd,ACAd2/3,39098.0,156.0,565.0,12765859.0,1260628047.0,326.50925878561566
207,brain,grey,MB,RN,RN,50443.0,21.0,241.0,4298049.0,400860503.0,85.2060543583847
208,brain,grey,MB,APN,APN,81666.0,9.0,378.0,13237791.0,2181012045.0,162.09672323855705
210,brain,grey,MY,SUV,SUV,22659.0,24.0,461.0,2067150.0,205852066.0,91.22865086720509
211,brain,grey,TH,LP,LP,77053.0,16.0,427.0,13563618.0,2338583180.0,176.0297198032523
213,brain,grey,OLF,MOB,MOBgr,331664.0,3.0,1427.0,47443633.0,7429237469.0,143.04727977712383
215,brain,grey,MY,RO,RO,2455.0,14.0,146.0,122063.0,7083799.0,49.720162932790224
216,brain,grey,HY,ARH,ARH,18325.0,11.0,183.0,1675216.0,172570306.0,91.41697135061392
218,brain,grey,MY,SPIV,SPIV,47927.0,13.0,393.0,4196644.0,412238852.0,87.56325244642895
219,brain,grey,HY,LPO,LPO,35519.0,41.0,381.0,6115288.0,927391090.0,172.16948675356852
221,brain,grey,OLF,MOB,MOBipl,66301.0,3.0,431.0,13905947.0,2326651743.0,209.7396268532903
222,brain,fiber tracts,cm,Vn,sV,44518.0,0.0,67.0,215462.0,1555752.0,4.839884990340986
223,brain,grey,MY,RPA,RPA,4336.0,2.0,123.0,109509.0,4280775.0,25.255765682656826
224,brain,grey,MB,AT,AT,2757.0,25.0,125.0,191764.0,14134770.0,69.55531374682626
226,brain,grey,Isocortex,VISal,VISal5,13011.0,207.0,474.0,4543544.0,444709826.0,349.20790100684036
227,brain,grey,Isocortex,TEa,TEa4,19976.0,78.0,389.0,5316944.0,654404558.0,266.1665999199039
229,brain,grey,OLF,MOB,MOBmi,68709.0,6.0,495.0,19131169.0,2247631853.0,278.4375991500386
230,brain,fiber tracts,cm,Xn,ts,599.0,51.0,174.0,62140.0,6824322.0,103.73956594323873
231,brain,grey,P,RPO,RPO,6164.0,11.0,154.0,277713.0,14508495.0,45.0540233614536
236,brain,grey,Isocortex,AUDd,AUDd6b,1938.0,62.0,236.0,341426.0,61259830.0,176.17440660474716
237,brain,grey,OLF,MOB,MOBopl,322657.0,2.0,1131.0,116338045.0,10558927323.0,360.56259433392114
239,brain,grey,MB,RR,RR,8846.0,37.0,212.0,944634.0,107828588.0,106.7865702012209
242,brain,grey,Isocortex,AUDpo,AUDpo6a,5049.0,146.0,399.0,1337847.0,120928597.0,264.9726678550208
243,brain,grey,STR,LSc,LSc,36018.0,13.0,369.0,6576362.0,1167722560.0,182.5854295074685
244,brain,grey,Isocortex,AUDp,AUDp2/3,30166.0,143.0,528.0,8658036.0,1037272378.0,287.0130610621229
245,brain,grey,Isocortex,AUDd,AUDd5,21944.0,76.0,445.0,7557081.0,739469519.0,344.3802861830113
248,brain,grey,TH,AV,AV,26622.0,27.0,676.0,9400459.0,867045291.0,353.1086695214484
250,brain,grey,Isocortex,VISpm,VISpm6a,9662.0,137.0,419.0,2867520.0,308823910.0,296.78327468433037
251,brain,grey,STR,LSr,LSr,120383.0,19.0,381.0,26969703.0,3952296343.0,224.032487975877
253,brain,grey,OLF,NLOT,NLOT1,7131.0,75.0,370.0,1632837.0,267442495.0,228.97728228859907
255,brain,grey,TH,RT,RT,92624.0,22.0,510.0,14386450.0,2126088224.0,155.3209751252375
256,brain,grey,HY,AVP,AVP,5898.0,117.0,363.0,1693494.0,166649258.0,287.1302136317396
258,brain,grey,STR,LSv,LSv,38886.0,63.0,414.0,10330224.0,1034962240.0,265.65406573059715
260,brain,grey,OLF,NLOT,NLOT2,9563.0,136.0,395.0,2795599.0,316051257.0,292.3349367353341
261,brain,grey,Isocortex,VISpl,VISpl2/3,13341.0,119.0,392.0,3212789.0,466184231.0,240.82070309571995
263,brain,grey,MB,SAG,SAG,6286.0,77.0,305.0,1147649.0,211544561.0,182.57222398981864
264,brain,grey,HY,AVPV,AVPV,11711.0,39.0,407.0,2074318.0,300568902.0,177.12560840235676
265,brain,grey,Isocortex,RSPd,RSPd6a,48445.0,29.0,410.0,11367456.0,1765106890.0,234.64663019919496
270,brain,grey,Isocortex,RSPagl,RSPagl6b,2311.0,69.0,223.0,312715.0,44180933.0,135.3158805711813
271,brain,grey,P,B,B,994.0,135.0,259.0,197510.0,39631652.0,198.70221327967806
272,brain,grey,Isocortex,VISam,VISam1,8602.0,19.0,477.0,2826047.0,290603817.0,328.5337130899791
276,brain,grey,HY,SCH,SCH,4229.0,29.0,285.0,651989.0,107762567.0,154.1709624024592
277,brain,grey,PAL,BAC,BAC,483.0,73.0,316.0,78115.0,12001905.0,161.7287784679089
278,brain,grey,Isocortex,ORBvl,ORBvl2/3,33502.0,119.0,465.0,10605649.0,1077791531.0,316.56763775297
279,brain,grey,Isocortex,TEa,TEa5,60878.0,156.0,405.0,16794076.0,1734560544.0,275.8644502118992
282,brain,grey,STR,BA,BA,1603.0,53.0,302.0,348902.0,63847236.0,217.65564566437928
286,brain,grey,Isocortex,ACAv,ACAv2/3,32601.0,81.0,471.0,10648216.0,1047476260.0,326.6223735468237
288,brain,grey,PAL,MA,MA,23333.0,21.0,567.0,3197331.0,463343247.0,137.03042900612866
291,brain,fiber tracts,mfbs,mfbc,st,21358.0,16.0,325.0,1751365.0,191194047.0,82.00042138777039
293,brain,grey,CTXsp,BLA,BLAa,49305.0,88.0,538.0,16790948.0,1625761208.0,340.5526417199067
294,brain,grey,Isocortex,PL,PL2/3,26811.0,91.0,469.0,8386019.0,925197311.0,312.782775726381
295,brain,grey,Isocortex,VISp,VISp6b,10644.0,83.0,311.0,2048009.0,371588665.0,192.4097143930853
297,brain,grey,MY,MARN,MARN,34099.0,16.0,186.0,2299510.0,176776000.0,67.43628845420687
300,brain,grey,STR,SF,SF,30348.0,12.0,313.0,2495619.0,252417321.0,82.23339264531435
301,brain,grey,CTXsp,BLA,BLAp,45512.0,104.0,469.0,12440652.0,1317554738.0,273.348831077518
303,brain,grey,MB,MB-unassigned,MB-unassigned,433116.0,0.0,427.0,56418720.0,7868025862.0,130.2623777463774
304,brain,grey,Isocortex,AIp,AIp6a,27900.0,92.0,352.0,6987735.0,916334835.0,250.45645161290324
308,brain,grey,P,SG,SG,1111.0,86.0,247.0,203437.0,37980845.0,183.11161116111612
310,brain,grey,Isocortex,MOp,MOp1,85116.0,4.0,712.0,24225142.0,2765434492.0,284.61325720193616
311,brain,grey,TH,SubG,SubG,1725.0,71.0,327.0,305483.0,51491543.0,177.09159420289856
315,brain,grey,TH,SGN,SGN,11633.0,26.0,250.0,1552117.0,225133813.0,133.42362245336543
316,brain,fiber tracts,cbf,cbp,scp,28945.0,6.0,127.0,903671.0,35372371.0,31.220279841077907
317,brain,grey,CTXsp,BMA,BMAa,49159.0,87.0,370.0,12783823.0,1513434555.0,260.05050957098393
318,brain,grey,Isocortex,AId,AId2/3,59244.0,125.0,417.0,15985234.0,1897028214.0,269.82030247788805
320,brain,grey,Isocortex,RSPd,RSPd6b,2047.0,76.0,203.0,254355.0,32429491.0,124.25744992672203
322,brain,grey,HY,ASO,ASO,388.0,250.0,338.0,114118.0,8608106.0,294.1185567010309
323,brain,grey,STR,SH,SH,2380.0,69.0,401.0,596035.0,79246367.0,250.43487394957984
324,brain,grey,CTXsp,BMA,BMAp,45909.0,97.0,451.0,12583621.0,1412308929.0,274.0992180182535
325,brain,grey,Isocortex,PERI,PERI6a,3437.0,113.0,305.0,742037.0,147941799.0,215.89671224905442
326,brain,fiber tracts,cm,IIn,csc,1753.0,53.0,202.0,195533.0,22541219.0,111.54192812321735
328,brain,grey,HY,SFO,SFO,1382.0,19.0,338.0,149353.0,18678051.0,108.07018813314038
332,brain,grey,PAL,SI,SI,193782.0,26.0,575.0,43112005.0,6299087737.0,222.47682963329927
334,brain,grey,Isocortex,AIp,AIp5,48165.0,26.0,389.0,13119402.0,1202053278.0,272.38455309872313
337,brain,grey,HY,SBPV,SBPV,7008.0,89.0,327.0,1618187.0,249149303.0,230.9056792237443
339,brain,fiber tracts,mfbs,mfsbshy,sup,1672.0,17.0,170.0,100423.0,6809091.0,60.061602870813395
340,brain,grey,P,SLC,SLC,1694.0,46.0,343.0,225848.0,32407616.0,133.32231404958677
341,brain,grey,PAL,BST,BST,85792.0,23.0,435.0,24824301.0,2669105313.0,289.35449692279
344,brain,grey,MY,MY-unassigned,MY-unassigned,340254.0,0.0,503.0,13061573.0,1040068627.0,38.38771329653729
345,brain,grey,Isocortex,AIp,AIp6b,1323.0,101.0,281.0,259942.0,50105238.0,196.47921390778535
346,brain,grey,HY,PST,PST,816.0,51.0,191.0,89976.0,10847934.0,110.26470588235294
348,brain,grey,P,SLD,SLD,3015.0,51.0,314.0,550263.0,102282869.0,182.5084577114428
352,brain,grey,TH,MD,MD,88198.0,25.0,524.0,22316112.0,2837318824.0,253.0228803374226
353,brain,grey,Isocortex,PL,PL5,63042.0,70.0,690.0,22405923.0,1935087565.0,355.41262967545447
354,brain,grey,HY,PSTN,PSTN,10628.0,41.0,304.0,1803626.0,318435040.0,169.70511855476101
356,brain,grey,TH,SMT,SMT,19682.0,49.0,476.0,5769727.0,661701089.0,293.1473935575653
358,brain,grey,Isocortex,PERI,PERI6b,843.0,72.0,249.0,141857.0,24521969.0,168.27639383155397
362,brain,grey,MY,ICB,ICB,3458.0,21.0,98.0,155532.0,7515826.0,44.97744360902256
364,brain,grey,MB,SNc,SNc,12629.0,57.0,430.0,2472593.0,383536375.0,195.78691899596168
367,brain,grey,Isocortex,VISpl,VISpl6a,6870.0,113.0,421.0,1719437.0,225077395.0,250.28195050946144
370,brain,fiber tracts,cm,drt,cuf,1427.0,14.0,104.0,42709.0,1474665.0,29.929222144358796
371,brain,grey,MB,SNr,SNr,99080.0,22.0,494.0,20891819.0,2806366943.0,210.85808437626162
372,brain,grey,HPF,CA1,CA1-unassigned,1.0,150.0,150.0,150.0,22500.0,150.0
380,brain,grey,HY,SO,SO,2998.0,15.0,339.0,495582.0,78568272.0,165.30420280186792
381,brain,grey,HPF,CA1,CA1slm,123518.0,18.0,640.0,46058928.0,4040748190.0,372.8924367298693
383,brain,grey,Isocortex,VISpl,VISpl6b,551.0,112.0,273.0,106413.0,20203313.0,193.12704174228676
387,brain,fiber tracts,eps,rust,vtd,2380.0,15.0,71.0,67948.0,2089616.0,28.549579831932775
389,brain,grey,HPF,CA1,CA1so,230807.0,3.0,679.0,83550701.0,7462627685.0,361.9937913494825
391,brain,grey,Isocortex,VISam,VISam4,3859.0,197.0,447.0,1370604.0,145323380.0,355.1707696294377
393,brain,grey,STR,MEA,MEA,129772.0,9.0,417.0,30222723.0,4599562809.0,232.89093949388158
397,brain,grey,HPF,CA1,CA1sp,60050.0,94.0,614.0,21419554.0,1996736390.0,356.6953205661948
402,brain,grey,Isocortex,ORBl,ORBl2/3,39769.0,75.0,572.0,13815767.0,1249793013.0,347.4004123815032
403,brain,fiber tracts,cm,VIIIn,vVIIIn,16023.0,2.0,41.0,178783.0,2278325.0,11.157898021593958
404,brain,grey,TH,SPFm,SPFm,4449.0,79.0,336.0,991026.0,184605002.0,222.7525286581254
405,brain,grey,HPF,CA1,CA1sr,238992.0,28.0,599.0,91745895.0,7919584195.0,383.8868874271942
411,brain,grey,Isocortex,VISl,VISl1,11854.0,22.0,377.0,2652937.0,467867319.0,223.80099544457568
412,brain,grey,TH,SPFp,SPFp,8597.0,39.0,205.0,923141.0,105703949.0,107.37943468651855
417,brain,grey,Isocortex,ECT,ECT2/3,30445.0,87.0,341.0,5862150.0,969926454.0,192.54885859747085
418,brain,fiber tracts,mfbs,mfbc,mct,522.0,100.0,301.0,103235.0,17872365.0,197.76819923371647
419,brain,grey,MY,SPVC,SPVC,107628.0,0.0,319.0,13032242.0,1757100216.0,121.08598134314491
420,brain,grey,Isocortex,RSPv,RSPv2/3,65218.0,13.0,526.0,19151035.0,2040514241.0,293.6464626330154
421,brain,grey,HPF,CA2,CA2slm,7708.0,141.0,632.0,3662893.0,254444777.0,475.2066683964712
423,brain,grey,Isocortex,VISam,VISam5,14542.0,172.0,501.0,5302912.0,483413034.0,364.6618071792051
424,brain,grey,Isocortex,RSPd,RSPd2/3,62330.0,6.0,453.0,18058038.0,2076751458.0,289.71663725332905
426,brain,fiber tracts,mfbs,mfbc,fx,17218.0,27.0,314.0,1592452.0,175495972.0,92.48762922522941
427,brain,grey,MY,SPVI,SPVI,118142.0,7.0,348.0,12357805.0,1516378803.0,104.60128489444905
428,brain,grey,HPF,CA2,CA2so,8458.0,21.0,683.0,3562977.0,272680831.0,421.2552612910854
430,brain,grey,Isocortex,ORBl,ORBl6a,30562.0,44.0,452.0,6800366.0,1018401792.0,222.5105032393168
431,brain,grey,Isocortex,VISam,VISam6b,1595.0,74.0,285.0,270355.0,47841417.0,169.50156739811914
432,brain,grey,Isocortex,RSPd,RSPd1,52969.0,7.0,502.0,12868220.0,1786294930.0,242.9386999943363
433,brain,fiber tracts,mfbs,mfbc,dhc,60981.0,11.0,205.0,3701870.0,271605828.0,60.705301651334025
435,brain,grey,MY,SPVO,SPVO,63978.0,13.0,333.0,6520335.0,797610695.0,101.91526774828847
436,brain,grey,HPF,CA2,CA2sp,3841.0,147.0,649.0,1842973.0,125524967.0,479.81593335068993
438,brain,grey,Isocortex,ORBl,ORBl1,24007.0,14.0,633.0,7205650.0,749552008.0,300.1478735368851
439,brain,fiber tracts,mfbs,mfbc,vhc,4226.0,14.0,125.0,201277.0,10660439.0,47.62825366777094
440,brain,grey,Isocortex,SSp-ul,SSp-ul1,29562.0,11.0,490.0,8237296.0,894692816.0,278.64474663419253
441,brain,grey,CTXsp,BLA,BLAv,26796.0,108.0,355.0,6761414.0,851981554.0,252.32922824302133
442,brain,grey,HY,MEPO,MEPO,2595.0,61.0,486.0,574791.0,81739305.0,221.4994219653179
444,brain,grey,HPF,CA2,CA2sr,10400.0,190.0,605.0,4353009.0,345422931.0,418.5585576923077
446,brain,grey,Isocortex,AUDpo,AUDpo6b,1140.0,51.0,290.0,205519.0,37946619.0,180.2798245614035
451,brain,grey,Isocortex,SSp-tr,SSp-tr6b,2195.0,91.0,289.0,424252.0,79472602.0,193.28109339407746
456,brain,fiber tracts,mfbs,mfbc,alv,89906.0,3.0,427.0,11097025.0,1529017649.0,123.4291927123885
459,brain,grey,Isocortex,VISpm,VISpm6b,1794.0,97.0,299.0,355225.0,66539935.0,198.0072463768116
460,brain,grey,HY,STN,STN,12463.0,37.0,471.0,2348731.0,398181113.0,188.45631067961165
461,brain,grey,HPF,CA3,CA3slm,40786.0,197.0,622.0,17275058.0,1333081052.0,423.5536213406561
467,brain,grey,STR,STR-unassigned,STR-unassigned,171564.0,2.0,552.0,39435982.0,5397956954.0,229.86163763959806
468,brain,grey,Isocortex,SSp-ll,SSp-ll6a,33771.0,106.0,460.0,10769675.0,1136746803.0,318.9030529152231
469,brain,grey,HPF,CA3,CA3slu,42640.0,109.0,563.0,13306237.0,1288880071.0,312.05996716697933
472,brain,fiber tracts,cm,VIIIn,bic,15797.0,4.0,342.0,1065800.0,90867694.0,67.46850667848325
473,brain,grey,TH,MH,MH,20492.0,0.0,401.0,2424130.0,342445806.0,118.2964083544798
474,brain,grey,Isocortex,ORBm,ORBm1,26955.0,6.0,753.0,7418558.0,843880894.0,275.2201075867186
476,brain,grey,HPF,CA3,CA3so,135329.0,25.0,690.0,42911499.0,4442592681.0,317.090195006244
478,brain,grey,Isocortex,ORBl,ORBl6b,2906.0,47.0,300.0,471377.0,76179417.0,162.2081899518238
485,brain,grey,HPF,CA3,CA3sp,83476.0,70.0,651.0,25155258.0,2657091144.0,301.3471896113853
491,brain,grey,Isocortex,VISpm,VISpm4,6309.0,237.0,466.0,2250295.0,228463959.0,356.68013948327786
492,brain,grey,HPF,SUB,SUB,134607.0,4.0,507.0,37150256.0,4307715104.0,275.990520552423
494,brain,grey,HPF,CA3,CA3sr,98656.0,160.0,509.0,34284964.0,3271487772.0,347.52031300681153
